date,raw,v2,joint
2007-12-05,0.0019041573204074155,0.0019041573204074155,0.0019041573204074155
2007-12-06,0.009555631443986565,0.009555631443986565,0.009555631443986565
2007-12-07,-0.003928353250681532,-0.003928353250681532,-0.003928353250681532
2007-12-10,0.0014549526402008722,0.0014549526402008722,0.0014549526402008722
2007-12-11,0.0018260477640971223,0.0018260477640971223,0.0018260477640971223
2007-12-12,0.0032263551263530203,0.0032263551263530203,0.0032263551263530203
2007-12-13,-0.0024024826415122965,-0.0024024826415122965,-0.0024024826415122965
2007-12-14,-0.005844834967760754,-0.005844834967760754,-0.005844834967760754
2007-12-17,-0.002855603610836286,-0.002855603610836286,-0.002855603610836286
2007-12-18,0.013271246462474292,0.013271246462474292,0.013271246462474292
2007-12-19,-0.008836997364533236,-0.008836997364533236,-0.008836997364533236
2007-12-20,0.0025877655484765156,0.0025877655484765156,0.0025877655484765156
2007-12-21,0.008309929344090191,0.00804304248065351,0.00804304248065351
2007-12-24,0.007512629701272721,0.007512629701272721,0.007512629701272721
2007-12-26,0.00861799082706037,0.008596118915449145,0.008596118915449145
2007-12-27,0.0230640426714585,0.0230640426714585,0.0230640426714585
2007-12-28,-0.01153660595631527,-0.011530823337927444,-0.011530823337927444
2007-12-31,0.003921381975235225,0.0030868730393425114,0.0030868730393425114
2008-01-02,0.004333932696273314,0.0031845184076364076,0.0031845184076364076
2008-01-03,0.0,0.0,0.0
2008-01-04,0.0,0.0,0.0
2008-01-07,0.0,0.0,0.0
2008-01-08,0.0,0.0,0.0
2008-01-09,0.0,0.0,0.0
2008-01-10,0.0,0.0,0.0
2008-01-11,0.0,0.0,0.0
2008-01-14,0.0,0.0,0.0
2008-01-15,0.0,0.0,0.0
2008-01-16,0.0,0.0,0.0
2008-01-17,-0.0001225665829189629,-0.00010381394439713393,-0.00010381394439713393
2008-01-18,0.025656979826122077,0.021966622478420548,0.021966622478420548
2008-01-22,-0.010760730875347568,-0.009783375296506974,-0.009783375296506974
2008-01-23,0.0,0.0,0.0
2008-01-24,0.0,0.0,0.0
2008-01-25,0.0,0.0,0.0
2008-01-28,-4.744618833006512e-06,-3.4161881983838124e-06,-3.4161881983838124e-06
2008-01-29,0.00023754957133334265,0.00017348814063788392,0.00017348814063788392
2008-01-30,0.0013840393412476728,0.001243021332300213,0.001243021332300213
2008-01-31,-0.0026370240402980483,-0.002590571531199608,-0.002590571531199608
2008-02-01,-0.00021466019491951738,-0.0002119506375971491,-0.0002119506375971491
2008-02-04,0.0011664175781686552,0.0011515543589394371,0.0011515543589394371
2008-02-05,-0.0003672609681335739,-0.00036250167644596764,-0.00036250167644596764
2008-02-06,-0.0030098286201109548,-0.0029713750311941016,-0.0029713750311941016
2008-02-07,0.0033649638795226556,0.0033205393353981675,0.0033205393353981675
2008-02-08,0.0033674725685609082,0.0032956289728606376,0.0032956289728606376
2008-02-11,0.00400679671258814,0.0039041294306102854,0.0039041294306102854
2008-02-12,-0.002673863225155871,-0.0025958472648335445,-0.0025958472648335445
2008-02-13,0.0006080200813338662,0.0005873446545121211,0.0005873446545121211
2008-02-14,0.007775508342687973,0.007452796242332691,0.007452796242332691
2008-02-15,0.014400250299062601,0.013809554953272539,0.013809554953272539
2008-02-19,0.013823054722726345,0.012929877132567135,0.012929877132567135
2008-02-20,0.0,0.0,0.0
2008-02-21,0.0,0.0,0.0
2008-02-22,0.0,0.0,0.0
2008-02-25,0.0,0.0,0.0
2008-02-26,0.0,0.0,0.0
2008-02-27,-4.6816326154733694e-05,-4.6816326154733694e-05,-4.6816326154733694e-05
2008-02-28,-0.028484202780545607,-0.028484202780545607,-0.028484202780545607
2008-02-29,0.0,0.0,0.0
2008-03-03,0.0,0.0,0.0
2008-03-04,0.0,0.0,0.0
2008-03-05,0.0,0.0,0.0
2008-03-06,0.0,0.0,0.0
2008-03-07,0.0,0.0,0.0
2008-03-10,0.0,0.0,0.0
2008-03-11,0.0,0.0,0.0
2008-03-12,0.0,0.0,0.0
2008-03-13,0.0,0.0,0.0
2008-03-14,0.0,0.0,0.0
2008-03-17,0.0,0.0,0.0
2008-03-18,0.0,0.0,0.0
2008-03-19,-5.420520186303205e-05,-4.726574103312836e-05,-4.726574103312836e-05
2008-03-20,0.05370826128142616,0.05312375151698598,0.05312375151698598
2008-03-24,0.015395260968947513,0.015229214134056798,0.015229214134056798
2008-03-25,0.0,0.0,0.0
2008-03-26,0.0,0.0,0.0
2008-03-27,0.0,0.0,0.0
2008-03-28,0.0,0.0,0.0
2008-03-31,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0
2008-04-02,0.0,0.0,0.0
2008-04-03,0.0,0.0,0.0
2008-04-04,0.0,0.0,0.0
2008-04-07,0.0,0.0,0.0
2008-04-08,0.0,0.0,0.0
2008-04-09,0.0,0.0,0.0
2008-04-10,0.0,0.0,0.0
2008-04-11,0.0,0.0,0.0
2008-04-14,0.0,0.0,0.0
2008-04-15,0.0,0.0,0.0
2008-04-16,0.0,0.0,0.0
2008-04-17,0.0,0.0,0.0
2008-04-18,-5.580441548735616e-05,-2.853694076913474e-05,-2.853694076913474e-05
2008-04-21,5.8445702078576584e-05,2.9889582816308785e-05,2.9889582816308785e-05
2008-04-22,-0.008185233517733023,-0.008185233517733023,-0.008185233517733023
2008-04-23,0.006917792938124556,0.006917792938124556,0.006917792938124556
2008-04-24,0.0017576781606369295,0.0017576781606369295,0.0017576781606369295
2008-04-25,-0.002972185853407368,-0.002972185853407368,-0.002972185853407368
2008-04-28,-0.0021484273277042163,-0.0021484273277042163,-0.0021484273277042163
2008-04-29,0.005056649824486668,0.005056649824486668,0.005056649824486668
2008-04-30,-0.004274327044305487,-0.004274327044305487,-0.004274327044305487
2008-05-01,-0.014061395435111541,-0.014061395435111541,-0.014061395435111541
2008-05-02,0.0015721234351156945,0.0015721234351156945,0.0015721234351156945
2008-05-05,-0.001324417418361688,-0.001324417418361688,-0.001324417418361688
2008-05-06,0.0,0.0,0.0
2008-05-07,0.0,0.0,0.0
2008-05-08,0.0,0.0,0.0
2008-05-09,-6.711216201351849e-06,-6.711216201351849e-06,-6.711216201351849e-06
2008-05-12,0.0050168523588368825,0.0050168523588368825,0.0050168523588368825
2008-05-13,0.002591924989200082,0.002591924989200082,0.002591924989200082
2008-05-14,0.004398083812840653,0.004398083812840653,0.004398083812840653
2008-05-15,-0.005752203355835651,-0.005752203355835651,-0.005752203355835651
2008-05-16,0.0,0.0,0.0
2008-05-19,0.0,0.0,0.0
2008-05-20,0.0,0.0,0.0
2008-05-21,0.0,0.0,0.0
2008-05-22,-6.290129498802019e-06,-6.290129498802019e-06,-6.290129498802019e-06
2008-05-23,0.0025932674135071493,0.0025932674135071493,0.0025932674135071493
2008-05-27,-0.0006820883940255861,-0.0006820883940255861,-0.0006820883940255861
2008-05-28,-0.003973706521413262,-0.003973706521413262,-0.003973706521413262
2008-05-29,-0.003620497969509307,-0.003620497969509307,-0.003620497969509307
2008-05-30,-0.0016518021156638296,-0.0016518021156638296,-0.0016518021156638296
2008-06-02,0.001845018277612628,0.001845018277612628,0.001845018277612628
2008-06-03,-0.00011658798164920366,-0.00011658798164920366,-0.00011658798164920366
2008-06-04,0.005862193742398854,0.005862193742398854,0.005862193742398854
2008-06-05,0.0006765099255744606,0.0006765099255744606,0.0006765099255744606
2008-06-06,0.00782626023144256,0.00782626023144256,0.00782626023144256
2008-06-09,-0.005360876943431962,-0.005360876943431962,-0.005360876943431962
2008-06-10,-0.0017274926308969152,-0.0017274926308969152,-0.0017274926308969152
2008-06-11,0.012468905813450885,0.012468905813450885,0.012468905813450885
2008-06-12,-0.008689099756696244,-0.008689099756696244,-0.008689099756696244
2008-06-13,-0.009147386956627687,-0.009147386956627687,-0.009147386956627687
2008-06-16,0.001539429772700103,0.001539429772700103,0.001539429772700103
