cap,subset,scheme,ov,IS_sh,IS_dd,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst
NOCAP,FULL,EQ,False,1.1122400965390942,-0.21490061243690262,0.5320948652935834,0.05934383102319396,-0.34621773617636364,0.12224478141732767,-0.07189878398371966
NOCAP,FULL,EQ,True,0.8869188248077429,-0.1119337682923941,0.524392651041027,0.02599065781171972,-0.11436470422602141,0.05143171562433367,-0.02597502416294086
NOCAP,FULL,HLV,False,1.1655080614135438,-0.18359685132841796,0.4911174685811768,0.04705863977461067,-0.30699369198228643,0.10477195525761974,-0.06675705570237159
NOCAP,FULL,HLV,True,0.8595393276541318,-0.10936287574583703,0.5510373651567932,0.024811091992171574,-0.10204607345364092,0.046419632872214685,-0.028550484732976538
NOCAP,FULL,INV,False,1.212141120931382,-0.155054220328823,0.42905727157691753,0.0368477015564419,-0.27061259894676004,0.09477784142620065,-0.06262324125611561
NOCAP,FULL,INV,True,0.7841907412904668,-0.10196050451575878,0.3861078872258044,0.015114149974443603,-0.11700241726799909,0.04101810772076907,-0.03170590829593361
NOCAP,NOHO,EQ,False,1.2208764724579262,-0.18372138484040912,0.6119526483321219,0.07780128845386125,-0.2735859877804713,0.13770230955396995,-0.09118092552253512
NOCAP,NOHO,EQ,True,0.7838658081499756,-0.10534297436722895,0.7610656435505304,0.04406565937032236,-0.12502767055028596,0.05891734732132042,-0.021364804098755984
NOCAP,NOHO,HLV,False,1.3185089350091412,-0.14586487238741241,0.5906810983089579,0.06367959281185942,-0.22980143261049002,0.11582189376922922,-0.08604417934685166
NOCAP,NOHO,HLV,True,1.4712302009852183,-0.09848049768763478,0.4267671860810132,0.019816603766691143,-0.15205752334596245,0.048742798505838,-0.020230872392458302
NOCAP,NOHO,INV,False,1.3988447795855736,-0.11108976458208975,0.5300313556107122,0.05071825453433898,-0.2070943859484634,0.1034005695382647,-0.08089706058257384
