,prob,wind5,raw
2020-06-08,0.9006597,0.0,0.0
2020-06-09,0.8974213,0.0,0.0
2020-06-10,0.9057767,0.0,0.0
2020-06-11,0.91073275,0.0,0.0
2020-06-12,0.8992458,0.0,-4.418463922437475e-05
2020-06-15,0.87677455,0.0,0.006676725173665314
2020-06-16,0.790332,0.0,0.006593123220835351
2020-06-17,0.69465023,0.0,0.004175526659706271
2020-06-18,0.5853151,0.0,0.0
2020-06-19,0.56735295,0.0,0.0
2020-06-22,0.57193464,0.0,0.0
2020-06-23,0.60547805,0.0,-4.593825292956352e-05
2020-06-24,0.57484215,0.0,0.0016510906630926533
2020-06-25,0.5532907,0.0,-0.004954872727112781
2020-06-26,0.5257171,0.0,-0.005560681625063008
2020-06-29,0.5231757,0.0,0.00013626388607142884
2020-06-30,0.53790236,0.0,0.010619505380141595
2020-07-01,0.55091196,0.0,0.004987463544722558
2020-07-02,0.5305626,0.0,0.007067217312868763
2020-07-06,0.5285261,0.0,0.0
2020-07-07,0.4889117,0.0,0.0
2020-07-08,0.38017705,0.0,0.0
2020-07-09,0.31519866,0.0,0.0
2020-07-10,0.31030998,0.0,0.0
2020-07-13,0.2696146,0.0,0.0
2020-07-14,0.2939577,0.0,0.0
2020-07-15,0.3546586,0.0,0.0
2020-07-16,0.4370029,0.0,0.0
2020-07-17,0.43716058,0.0,0.0
2020-07-20,0.43847,0.0,0.0
2020-07-21,0.41723266,0.0,0.0
2020-07-22,0.3271389,0.0,0.0
2020-07-23,0.21199244,0.0,0.0
2020-07-24,0.09912167,0.0,0.0
2020-07-27,0.036111332,0.0,0.0
2020-07-28,0.0111561855,0.0,0.0
2020-07-29,0.0036842858,0.0,0.0
2020-07-30,0.0018202602,0.0,0.0
2020-07-31,0.0017638055,0.0,0.0
2020-08-03,0.0028244238,0.0,0.0
2020-08-04,0.006564184,0.0,0.0
2020-08-05,0.015478913,0.0,0.0
2020-08-06,0.03281762,0.0,0.0
2020-08-07,0.0627309,0.0,-1.7693224569398262e-05
2020-08-10,0.09673075,0.0,0.001734986584351431
2020-08-11,0.20158108,0.0,0.002122355464178655
2020-08-12,0.41474098,0.0,0.0017036367739198064
2020-08-13,0.6268432,0.0,0.000514893665041681
2020-08-14,0.700041,0.0,-0.0008926505842562805
2020-08-17,0.71360487,0.0,0.003930399872603374
2020-08-18,0.7585781,0.0,-0.0011439225630413912
2020-08-19,0.6941994,0.0,0.0015826632938103892
2020-08-20,0.35241938,0.0,0.001449420765722615
2020-08-21,0.34939146,0.0,0.0
2020-08-24,0.5838818,0.0,-0.00013516978764199243
2020-08-25,0.36287898,1.0,-0.004799087904892373
2020-08-26,0.35620132,1.0,-0.0028920004560560493
2020-08-27,0.23916519,1.0,-0.002449579888352239
2020-08-28,0.22553082,1.0,0.006003718287495082
2020-08-31,0.18657462,1.0,1.418829463473853e-05
2020-09-01,0.33843738,0.0,0.0256125604195115
2020-09-02,0.46855953,0.0,-0.009568457432170977
2020-09-03,0.3322988,0.0,-0.011795837452093528
2020-09-04,0.5591323,0.0,0.012244515274605934
2020-09-08,0.8452257,0.0,-0.0038147194256606706
2020-09-09,0.89296466,0.0,0.0028542318789135596
2020-09-10,0.88333875,0.0,-0.004058487180844268
2020-09-11,0.8409184,0.0,0.007698748067472455
2020-09-14,0.7990892,0.0,0.005612402057075692
2020-09-15,0.734141,0.0,-0.012288096038225654
2020-09-16,0.64121956,0.0,-0.01864191496052646
2020-09-17,0.58904415,0.0,0.01637262030616471
2020-09-18,0.5759828,0.0,-0.006668422547520781
2020-09-21,0.6039868,0.0,-0.004408793333396863
2020-09-22,0.59682494,0.0,-0.011679631048712355
2020-09-23,0.59898406,0.0,-0.0012811741225946193
2020-09-24,0.62681925,0.0,0.00011272646881753353
2020-09-25,0.6750581,0.0,0.00825982878993764
2020-09-28,0.71164995,0.0,0.003816605798601617
2020-09-29,0.7081442,0.0,0.0005463784370599337
2020-09-30,0.63159204,0.0,0.01134594690873601
2020-10-01,0.5236235,0.0,0.012398280228492216
2020-10-02,0.49451527,0.0,-0.0002103919923094155
2020-10-05,0.48003826,0.0,-0.002844526544341208
2020-10-06,0.48173514,0.0,0.01826381523874738
2020-10-07,0.48656717,0.0,-0.009896209270046766
2020-10-08,0.4856189,0.0,0.0016829669421866893
2020-10-09,0.4808209,0.0,0.013367604541049048
2020-10-12,0.4782309,0.0,-0.006630022202481956
2020-10-13,0.46969995,0.0,-0.005528256016131855
2020-10-14,0.46557993,0.0,0.003018552208266686
2020-10-15,0.46030512,0.0,-0.002211144911690028
2020-10-16,0.4803683,0.0,-0.008404111152881083
2020-10-19,0.5319572,0.0,-0.022273452505330124
2020-10-20,0.56727797,0.0,0.000390459742497927
2020-10-21,0.52532375,0.0,0.00040102952361968083
2020-10-22,0.56294876,0.0,0.006199750710947833
2020-10-23,0.5994766,0.0,0.009214996021265673
2020-10-26,0.70449555,0.0,0.0011720931399713554
2020-10-27,0.73029125,0.0,0.011481820401543318
2020-10-28,0.75448686,0.0,0.008079375700079473
2020-10-29,0.6979116,0.0,0.0029349014137818826
2020-10-30,0.6071852,0.0,0.0
2020-11-02,0.5338622,0.0,-0.00010747060461177415
2020-11-03,0.5162613,0.0,-0.00555506810639091
2020-11-04,0.5284844,0.0,-0.00012247770094096078
2020-11-05,0.53915095,0.0,0.0051617796411826174
2020-11-06,0.5470351,0.0,0.0
2020-11-09,0.438977,0.0,0.0
2020-11-10,0.30075312,0.0,0.0
2020-11-11,0.13634303,0.0,0.0
2020-11-12,0.085725464,0.0,0.0
2020-11-13,0.05859706,0.0,0.0
2020-11-16,0.042278208,0.0,-1.659034297214113e-05
2020-11-17,0.031085748,0.0,0.002577347698490883
2020-11-18,0.023155779,0.0,-0.0032827121288313624
2020-11-19,0.01590778,0.0,0.0009498509198763818
2020-11-20,0.011964497,0.0,-0.005370297684746648
2020-11-23,0.008479465,0.0,-0.0028533232257982053
2020-11-24,0.005811752,0.0,0.0006936114388280479
2020-11-25,0.0066428143,0.0,0.0006681069326118403
2020-11-27,0.012459817,0.0,0.0034929901052866133
2020-11-30,0.020734712,0.0,0.005416161490667332
2020-12-01,0.026850991,0.0,-0.00842522666067885
2020-12-02,0.03191386,0.0,-0.0012337807381681961
2020-12-03,0.006004253,0.0,-0.0012087368095362995
2020-12-04,0.0016395163,0.0,0.0009605538388337777
2020-12-07,0.00096173555,0.0,-0.0004726898418927046
2020-12-08,0.0008125618,0.0,-0.002429895496189833
2020-12-09,0.0010158457,0.0,-0.0011470083422706785
2020-12-10,0.0017804082,0.0,-0.0015074355829359095
2020-12-11,0.0026000177,0.0,0.0007996269630834077
2020-12-14,0.0053945,0.0,0.0011233365201462567
2020-12-15,0.0090521965,0.0,0.0017666245027306146
2020-12-16,0.012074449,0.0,-0.001342124754191106
2020-12-17,0.013877247,0.0,0.0013392852164202957
2020-12-18,0.022969985,0.0,-0.00022740352213416727
2020-12-21,0.09303491,0.0,-0.00011362931943367666
2020-12-22,0.35766393,0.0,0.0012440090809463298
2020-12-23,0.6453159,0.0,-0.0002459717469995979
2020-12-24,0.65239245,0.0,0.0002494119296903755
2020-12-28,0.6229148,0.0,-0.0022473582320997245
2020-12-29,0.58100736,0.0,0.0018574583545533639
2020-12-30,0.5561663,0.0,0.0019102425809742135
2020-12-31,0.54030526,0.0,-0.005004114663693819
2021-01-04,0.50848013,0.0,-0.00462188745188277
2021-01-05,0.38939035,0.0,-0.004242208051401817
2021-01-06,0.177215,0.0,-9.844198968277647e-07
2021-01-07,0.07670984,0.0,0.002406575175920985
2021-01-08,0.079143435,0.0,-0.003989812610494131
2021-01-11,0.08241016,0.0,0.006984175062481426
2021-01-12,0.10403923,0.0,0.0007988120363900462
2021-01-13,0.04618073,0.0,0.00400964514693171
2021-01-14,0.014261159,0.0,0.005503060111726234
2021-01-15,0.0043925117,0.0,0.0019665373187716653
2021-01-19,0.0019249931,0.0,-0.003134651169494497
2021-01-20,0.001158201,0.0,0.0
2021-01-21,0.0024853991,0.0,0.0
2021-01-22,0.006293423,0.0,0.0
2021-01-25,0.018131047,0.0,0.0
2021-01-26,0.052152995,0.0,0.0
2021-01-27,0.1432008,0.0,0.0
2021-01-28,0.27956825,0.0,0.0
2021-01-29,0.34176874,0.0,0.0
2021-02-01,0.37937206,0.0,-2.235626492262575e-05
2021-02-02,0.3668937,0.0,0.0013418984420097142
2021-02-03,0.3393485,0.0,0.0
2021-02-04,0.34757513,0.0,0.0
2021-02-05,0.38104522,0.0,-1.7815002050237433e-05
2021-02-08,0.42886475,0.0,0.001154375096890063
2021-02-09,0.43514252,0.0,0.001647047623632091
2021-02-10,0.20512949,0.0,0.0007222377404693396
2021-02-11,0.27458468,0.0,0.0012421437103854011
2021-02-12,0.29786763,0.0,0.010531512733711
2021-02-16,0.310997,0.0,0.00422038011476934
2021-02-17,0.36513874,0.0,-0.0012830654898634275
2021-02-18,0.32328275,0.0,0.0
2021-02-19,0.1766461,0.0,-1.8024585816445303e-05
2021-02-22,0.06087642,0.0,-0.0009421206045828385
2021-02-23,0.03417707,0.0,0.0005728147996529646
2021-02-24,0.017909678,0.0,-0.0013694512966847027
2021-02-25,0.014462552,0.0,0.005311542795552329
2021-02-26,0.008994695,0.0,-0.014450568370391288
2021-03-01,0.006409871,0.0,0.016745486636589695
2021-03-02,0.00824181,0.0,0.0007594726673499314
2021-03-03,0.008934382,0.0,0.0
2021-03-04,0.0059221108,0.0,-1.0069291000283032e-05
2021-03-05,0.0041990145,0.0,0.002244102981571575
2021-03-08,0.004302408,0.0,-0.0005031248426670053
2021-03-09,0.002814075,0.0,0.0
2021-03-10,0.0024157465,0.0,0.0
2021-03-11,0.0024717213,0.0,0.0
2021-03-12,0.0024318162,0.0,-9.91858350278278e-06
2021-03-15,0.002350077,0.0,0.0006876364281189849
2021-03-16,0.0025694,0.0,-0.0005691338098419947
2021-03-17,0.0018687431,0.0,0.0010739767585904194
2021-03-18,0.0011384891,0.0,0.0006843608366020366
2021-03-19,0.00088913017,0.0,0.0009692907696086758
2021-03-22,0.0005399766,0.0,0.00022093009341070816
2021-03-23,0.00043855593,0.0,0.0
2021-03-24,0.0005418791,0.0,0.0
2021-03-25,0.00059974333,0.0,0.0
2021-03-26,0.00064884056,0.0,0.0
2021-03-29,0.00052133534,0.0,0.0
2021-03-30,0.0003467671,0.0,0.0
2021-03-31,0.00031143188,0.0,0.0
2021-04-01,0.0004040616,0.0,-2.2540911403787456e-05
2021-04-05,0.0007363148,0.0,-0.0011702685185241298
2021-04-06,0.0016036006,0.0,0.0008313369917983672
2021-04-07,0.0043976028,0.0,0.00018979038446042523
2021-04-08,0.020796245,0.0,-0.0019993331654331245
2021-04-09,0.25482547,0.0,-0.00029331562032896614
2021-04-12,0.5295864,0.0,0.00048278977492250785
2021-04-13,0.44876865,0.0,0.0008744662081318563
2021-04-14,0.44876865,0.0,0.0005824571984362483
2021-04-15,0.44876865,0.0,-0.0004879284025601391
2021-04-16,0.37758827,0.0,-0.0015616988464267165
2021-04-19,0.30596122,0.0,-0.00029408411959342063
2021-04-20,0.22029859,0.0,-0.004463549612331047
2021-04-21,0.19919474,0.0,0.0015433360365282385
2021-04-22,0.23404884,0.0,-3.9344965912732033e-07
2021-04-23,0.27913988,0.0,-3.555394796231978e-07
2021-04-26,0.27589026,0.0,0.002059991401055379
2021-04-27,0.29225937,0.0,0.002333383879460497
2021-04-28,0.23236379,0.0,0.0006250110682402845
2021-04-29,0.1524874,0.0,-0.0012467691268316318
2021-04-30,0.05828152,0.0,-0.0010917028379088863
2021-05-03,0.04629026,0.0,0.006604352997178296
2021-05-04,0.04346764,0.0,-0.002322189911799669
2021-05-05,0.002949616,0.0,0.0
2021-05-06,0.005363245,0.0,0.0
2021-05-07,0.020606821,0.0,0.0
2021-05-10,0.11064324,0.0,0.0
2021-05-11,0.22528672,0.0,0.0
2021-05-12,0.21002205,0.0,0.0
2021-05-13,0.15196411,0.0,0.0
2021-05-14,0.12829143,0.0,0.0
2021-05-17,0.1597873,0.0,0.0
2021-05-18,0.2755648,0.0,0.0
2021-05-19,0.20979507,0.0,0.0
2021-05-20,0.18642186,0.0,0.0
2021-05-21,0.09484533,0.0,-3.166344586383771e-05
2021-05-24,0.03779879,0.0,-0.008461964667764652
2021-05-25,0.01846178,0.0,0.003197972525793181
2021-05-26,0.021116236,0.0,0.0013727457170964743
2021-05-27,0.11584171,0.0,-0.000857750381380612
2021-05-28,0.3085837,0.0,0.012054446089621768
2021-06-01,0.39015028,0.0,-0.013788420617248673
2021-06-02,0.36865982,0.0,-0.0001342680056371014
2021-06-03,0.43163693,0.0,-0.00023322605653961702
2021-06-04,0.45311105,0.0,-0.002749086062335002
2021-06-07,0.44876865,0.0,0.0
2021-06-08,0.44876865,0.0,0.0
2021-06-09,0.43141925,0.0,0.0
2021-06-10,0.37967694,0.0,0.0
2021-06-11,0.2820526,0.0,0.0
2021-06-14,0.215634,0.0,0.0
2021-06-15,0.1712417,1.0,-0.0001693121693121693
2021-06-16,0.1343116,1.0,-0.009151764850244265
2021-06-17,0.114673376,1.0,0.002736932047755542
2021-06-18,0.13173588,1.0,0.01242793990689596
2021-06-21,0.18123394,1.0,-0.012357921265490417
2021-06-22,0.245418,1.0,0.026699253194277548
2021-06-23,0.34861785,0.0,0.027120955164302563
2021-06-24,0.45843595,0.0,0.004949060087655886
2021-06-25,0.688817,0.0,0.0
2021-06-28,0.6864411,0.0,-0.00013877533222456096
2021-06-29,0.6955173,0.0,0.00798373268779299
2021-06-30,0.76213765,1.0,-0.003543472747911849
2021-07-01,0.7779252,1.0,-0.01956671795555763
2021-07-02,0.75792485,1.0,-0.000266219797778795
2021-07-06,0.75439143,1.0,-0.033802130485686734
2021-07-07,0.7603556,1.0,-0.00024302912650505537
2021-07-08,0.7335691,0.0,0.021402017300799644
2021-07-09,0.7387106,0.0,-0.00377412354640913
2021-07-12,0.7144744,0.0,0.0
2021-07-13,0.59144676,0.0,0.0
2021-07-14,0.33310744,0.0,0.0
2021-07-15,0.06594176,0.0,0.0
2021-07-16,0.012672346,0.0,0.0
2021-07-19,0.004171088,0.0,0.0
2021-07-20,0.0021265107,0.0,0.0
2021-07-21,0.0018077941,0.0,0.0
2021-07-22,0.0017330288,0.0,0.0
2021-07-23,0.0023539495,0.0,0.0
2021-07-26,0.0051231557,0.0,0.0
2021-07-27,0.013577724,0.0,0.0
2021-07-28,0.019237174,0.0,0.0
2021-07-29,0.024775004,0.0,0.0
2021-07-30,0.030654373,0.0,0.0
2021-08-02,0.021571923,0.0,0.0
2021-08-03,0.014530929,0.0,0.0
2021-08-04,0.01038926,0.0,0.0
2021-08-05,0.005428709,0.0,0.0
2021-08-06,0.0030094304,0.0,0.0
2021-08-09,0.0021067525,0.0,0.0
2021-08-10,0.0019516076,0.0,0.0
2021-08-11,0.0017322452,0.0,0.0
2021-08-12,0.0016835746,0.0,0.0
2021-08-13,0.0018049225,0.0,0.0
2021-08-16,0.0022775582,0.0,0.0
2021-08-17,0.0029218642,0.0,0.0
2021-08-18,0.0045935255,0.0,0.0
2021-08-19,0.00747257,0.0,-9.446781511500226e-06
2021-08-20,0.017001813,0.0,-0.0007985695674913168
2021-08-23,0.043179877,0.0,-0.0021346520063463335
2021-08-24,0.101891,0.0,0.008957805709342185
2021-08-25,0.43515256,0.0,-0.003287153917038521
2021-08-26,0.07889018,0.0,0.0020007351610089198
2021-08-27,0.01934304,0.0,-0.0028041424468873014
2021-08-30,0.022503536,0.0,-0.002062204815278174
2021-08-31,0.025630236,0.0,-0.002366230636448929
2021-09-01,0.061999694,0.0,0.017914515692567145
2021-09-02,0.16127978,0.0,-0.0004848374035575973
2021-09-03,0.27347058,0.0,-0.0019641964174353385
2021-09-07,0.09432046,0.0,-0.00013866161816214944
2021-09-08,0.058010925,0.0,0.0002742019090906972
2021-09-09,0.043306474,0.0,-6.808124653219754e-05
2021-09-10,0.033857714,0.0,0.0007444610252583567
2021-09-13,0.022201953,0.0,0.0009430989524736209
2021-09-14,0.049936034,0.0,-0.000529408943392867
2021-09-15,0.049161185,0.0,0.0018884364506207261
2021-09-16,0.03396053,0.0,-0.001359540968627176
2021-09-17,0.03591546,0.0,-0.0019863679815636665
2021-09-20,0.026356308,0.0,-0.0016834401717980745
2021-09-21,0.024636406,0.0,-0.0010800292656113733
2021-09-22,0.038288265,0.0,-0.0010026064348347711
2021-09-23,0.019744897,0.0,-5.6650497091741624e-06
2021-09-24,0.02045719,0.0,-0.0011522967934837673
2021-09-27,0.018915612,0.0,0.0001986130123811477
2021-09-28,0.018324405,0.0,0.0018753307743908337
2021-09-29,0.017994486,0.0,-0.00014946524717917052
2021-09-30,0.035563365,0.0,0.008873507831059306
2021-10-01,0.01965081,0.0,0.0006201202570505192
2021-10-04,0.038302418,0.0,-0.0038630710703827014
2021-10-05,0.085848175,0.0,0.00015749421995013232
2021-10-06,0.10744529,0.0,-0.00032737790852751804
2021-10-07,0.117137484,0.0,-4.1361918934093234e-07
2021-10-08,0.118580304,0.0,0.009894400273463142
2021-10-11,0.11073388,0.0,-0.0014687008919024819
2021-10-12,0.03636448,0.0,0.004632193195338772
2021-10-13,0.010258072,0.0,0.0005122637828734252
2021-10-14,0.0031107054,0.0,0.0
2021-10-15,0.0017256439,0.0,0.0
2021-10-18,0.0011460198,0.0,0.0
2021-10-19,0.0009823804,0.0,-2.25907688815664e-05
2021-10-20,0.0009085048,0.0,-0.002287085355114761
2021-10-21,0.0005248992,0.0,0.002184202162874639
2021-10-22,0.0007071768,0.0,-0.004897694400428022
2021-10-25,0.0008440305,0.0,0.006694151224784514
2021-10-26,0.0015240584,0.0,-0.007191491985697036
2021-10-27,0.0037792893,0.0,0.002284957079285267
2021-10-28,0.014271177,0.0,-0.005404955792869211
2021-10-29,0.07301121,0.0,0.0
2021-11-01,0.3195275,0.0,0.0
2021-11-02,0.7150784,0.0,0.0
2021-11-03,0.7720227,0.0,0.0
2021-11-04,0.7739536,0.0,0.0
2021-11-05,0.7778554,0.0,0.0
2021-11-08,0.78471655,0.0,-9.423938647969383e-05
2021-11-09,0.7969209,1.0,5.465855745961045e-05
2021-11-10,0.8141032,1.0,-0.004430874775171166
2021-11-11,0.8322816,1.0,0.005792538708026443
2021-11-12,0.82734776,1.0,0.00559434447219982
2021-11-15,0.7621318,1.0,0.010677438379685308
2021-11-16,0.58335465,1.0,0.039063405769183115
2021-11-17,0.44949332,1.0,-0.012983419678392337
2021-11-18,0.29397446,1.0,-0.00015952756569415717
2021-11-19,0.46204305,1.0,-0.012938268582235292
2021-11-22,0.69763017,1.0,0.009908301677131855
2021-11-23,0.71354526,1.0,0.028928267930452042
2021-11-24,0.7797263,1.0,0.0006917075876873365
2021-11-26,0.8241491,1.0,-0.005168492037080994
2021-11-29,0.79518783,1.0,0.006956102797262748
2021-11-30,0.66505075,1.0,-0.006925273709336242
2021-12-01,0.7077039,1.0,0.021797003541595028
2021-12-02,0.7873765,1.0,-0.002237907806503605
2021-12-03,0.8135692,1.0,-0.010033656414145036
2021-12-06,0.8453625,1.0,0.012404235822766403
2021-12-07,0.7908035,1.0,-0.005001092665397345
2021-12-08,0.8567905,0.0,0.04732254408792991
2021-12-09,0.7675332,0.0,0.018397689506762738
2021-12-10,0.7200832,0.0,-2.613744696400111e-07
2021-12-13,0.78123504,0.0,0.0013560280581891887
2021-12-14,0.78747374,0.0,0.0004515209618905388
2021-12-15,0.74393183,0.0,-0.0001336027264944646
2021-12-16,0.7244566,0.0,0.0012219485249708052
2021-12-17,0.6494327,0.0,-7.254638254975078e-05
2021-12-20,0.627393,0.0,0.0
2021-12-21,0.59874743,0.0,0.0
2021-12-22,0.5875639,0.0,0.0
2021-12-23,0.63031644,0.0,0.0
2021-12-27,0.5825577,0.0,0.0
2021-12-28,0.55808616,0.0,0.0
2021-12-29,0.5615337,0.0,0.0
2021-12-30,0.5685666,0.0,0.0
2021-12-31,0.5696079,0.0,0.0
2022-01-03,0.56929237,0.0,0.0
2022-01-04,0.57062894,0.0,0.0
2022-01-05,0.56944126,0.0,0.0
2022-01-06,0.55258155,0.0,0.0
2022-01-07,0.54730254,0.0,-0.00013982765118480915
2022-01-10,0.5733733,0.0,-0.004727975690159145
2022-01-11,0.5497894,0.0,0.006886063997212975
2022-01-12,0.5208289,0.0,-0.00026399233455509045
2022-01-13,0.5072173,1.0,0.0036345180615171267
2022-01-14,0.4956544,1.0,-0.0036024546831303892
2022-01-18,0.48352346,1.0,-0.0168300105146171
2022-01-19,0.47221804,1.0,-0.0076268927112295975
2022-01-20,0.5037885,1.0,0.004403938654738495
2022-01-21,0.54845643,0.0,0.03235562268071155
2022-01-24,0.4846875,0.0,0.0018986294556028959
2022-01-25,0.35461247,0.0,0.0052813367879188675
2022-01-26,0.17630613,1.0,0.01703337962615862
2022-01-27,0.07455311,1.0,0.012171648301058484
2022-01-28,0.036130134,1.0,0.0
2022-01-31,0.017688496,1.0,0.0
2022-02-01,0.014730026,1.0,-0.00016343393311259738
2022-02-02,0.008217396,0.0,0.022658288380521502
2022-02-03,0.0083533805,0.0,-0.002038836292702232
2022-02-04,0.0023484074,0.0,0.0
2022-02-07,0.0036936302,0.0,0.0
2022-02-08,0.006118949,0.0,0.0
2022-02-09,0.0067084115,0.0,0.0
2022-02-10,0.006956657,0.0,0.0
2022-02-11,0.0063769687,1.0,0.0
2022-02-14,0.0055813515,1.0,-6.303956253595525e-06
2022-02-15,0.003275368,1.0,0.0012574553093836521
2022-02-16,0.006015049,1.0,-0.00040337635484133144
2022-02-17,0.012401216,1.0,0.0002819390444098162
2022-02-18,0.034991827,0.0,0.027729155149831115
2022-02-22,0.27836695,0.0,0.019310512592450965
2022-02-23,0.49097025,0.0,0.0015253496637330538
2022-02-24,0.4988662,0.0,-4.314421989340001e-06
2022-02-25,0.39575496,0.0,-0.00027642909315188954
2022-02-28,0.3511664,0.0,0.0035884744455404794
2022-03-01,0.22931564,0.0,0.011802969066766384
2022-03-02,0.17751676,0.0,0.01780829435449717
2022-03-03,0.107423715,0.0,0.0
2022-03-04,0.06842713,0.0,0.0
2022-03-07,0.03920818,0.0,0.0
2022-03-08,0.020541867,0.0,-3.009597043706131e-06
