feature,importance
vol20,25.701007063200905
crack_slope,13.537458462410306
vol60,9.681522422228646
ret20,4.5930281252609175
bzwti_slope,4.50740064796762
vol_x_ret,4.166395786601225
crack_term,3.000305039281157
held,2.862429130571106
held_lag2,2.853961329191718
skew20,2.5546024213871585
depth_abs,2.5266545686380386
held_lag1,2.137695462681406
kurt20,1.997284353734474
crack_slope5,1.9060640772953634
crash5_lag3,1.6537237623644547
crash20,1.5639192841800178
term_proxy,1.5224658663641009
cross_dist,1.3992979772726768
crude10,1.2875152046584597
crash5_lag10,1.2273506555775828
rb_spike,1.1338772069765695
ret5,1.029247616254224
held_lag5,0.951044423225194
crash5_lag5,0.8984332280895357
crash_x_crude,0.7586668313151393
crash5_lag2,0.688232018153651
held_x_crash,0.5935045702014664
held_lag3,0.5042622199195903
crash10,0.47791641469280977
vol_x_crash,0.4486862216381096
vol_spike,0.43985659260789617
log_vol_z,0.4185405868591186
crash5,0.2959861175673885
crude5,0.21496631924989473
roll_yield,0.1661551692398575
crash5_lag1,0.1557715049841149
crude_vol,0.1447713181581131
crude20,0.0
joint,0.0
held_lag10,0.0
