cap,cush,joint,prob_n,overlay,IS_sh,IS_cagr,IS_dd,IS_vol,IS_worst,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst
NOCAP,OFF,V2,0,BOOK,1.1308906088922241,0.07256243675490137,-0.10248065768417114,0.06373684559318418,-0.02316453623992197,0.9502840197081102,0.06269685615566156,-0.11135550698846908,0.06627127455191051,-0.028486405465007976
NOCAP,OFF,V2,0,PER,1.7444075344479824,0.11900832724344923,-0.03941807183088164,0.06569757054233237,-0.02316453623992197,0.7810981831170822,0.05589794074711274,-0.12461250241867616,0.07300770936975001,-0.05181797871663933
NOCAP,OFF,J_FULL,0,BOOK,1.1308906088922241,0.07256243675490137,-0.10248065768417114,0.06373684559318418,-0.02316453623992197,0.9461106474430804,0.08367614354181163,-0.14226210713545562,0.08889692903470306,-0.028486405465007976
NOCAP,OFF,J_FULL,0,PER,1.7444075344479824,0.11900832724344923,-0.03941807183088164,0.06569757054233237,-0.02316453623992197,0.893609257119541,0.08290756480478523,-0.1261494304448596,0.09382151644173757,-0.028486405465007976
NOCAP,OFF,J_P3,3,BOOK,1.1308906088922241,0.07256243675490137,-0.10248065768417114,0.06373684559318418,-0.02316453623992197,0.9437643663613232,0.08435421724950021,-0.15711067603184925,0.08987333930323232,-0.0301621224078599
NOCAP,OFF,J_P3,3,PER,1.7444075344479824,0.11900832724344923,-0.03941807183088164,0.06569757054233237,-0.02316453623992197,0.8894525127305696,0.08336284523712023,-0.14898603925611464,0.0948408389721732,-0.02974720177301143
NOCAP,OFF,J_P5,5,BOOK,1.1308906088922241,0.07256243675490137,-0.10248065768417114,0.06373684559318418,-0.02316453623992197,0.957241190001023,0.08634585893383773,-0.14741618137640866,0.09059310446069088,-0.0301621224078599
NOCAP,OFF,J_P5,5,PER,1.7444075344479824,0.11900832724344923,-0.03941807183088164,0.06569757054233237,-0.02316453623992197,0.8831100021393986,0.08319727380260322,-0.14569809593306238,0.09540974940576594,-0.02974720177301143
NOCAP,OFF,J_P10,10,BOOK,1.1308906088922241,0.07256243675490137,-0.10248065768417114,0.06373684559318418,-0.02316453623992197,0.9563770811139657,0.08686870770658017,-0.14926874448963,0.09123963347824131,-0.0301621224078599
NOCAP,OFF,J_P10,10,PER,1.7444075344479824,0.11900832724344923,-0.03941807183088164,0.06569757054233237,-0.02316453623992197,0.8999165389252844,0.08556119209173763,-0.14810705593235407,0.09612736558405693,-0.02974720177301143
NOCAP,S05,V2,0,BOOK,1.1308906088922241,0.07256243675490137,-0.10248065768417114,0.06373684559318418,-0.02316453623992197,0.888428706831932,0.05827462187376953,-0.11193640516981451,0.0661851936060833,-0.028486405465007976
NOCAP,S05,V2,0,PER,1.7444075344479824,0.11900832724344923,-0.03941807183088164,0.06569757054233237,-0.02316453623992197,0.7063971862515682,0.04956019361362407,-0.17316524166075598,0.07212474500640745,-0.074634745172255
NOCAP,S05,J_FULL,0,BOOK,1.1308906088922241,0.07256243675490137,-0.10248065768417114,0.06373684559318418,-0.02316453623992197,0.9002940825911278,0.08298781607609818,-0.1438925298713487,0.09305546473879785,-0.028486405465007976
NOCAP,S05,J_FULL,0,PER,1.7444075344479824,0.11900832724344923,-0.03941807183088164,0.06569757054233237,-0.02316453623992197,0.879511112626025,0.08413694767430502,-0.13556125653375717,0.09686161719875025,-0.028486405465007976
