factor,IS_sharpe,IS_cagr,IS_maxdd,IS_worst,IS_vol,OOS_sharpe,OOS_cagr,OOS_maxdd,OOS_worst,OOS_vol
cross_sectional,0.7535760244740228,0.24535345141865506,-0.5066110550003516,-0.18697059776331024,0.3890982873137471,0.5889002379755933,0.18315165768620023,-0.6770933383503924,-0.1826158192990385,0.4070006001355047
crack_321,0.828117975404376,0.11247990974193245,-0.1647406004428288,-0.06833391444985994,0.14043943082037222,0.397602752393255,0.059154914250725055,-0.3610449973903642,-0.182107882791102,0.18900511543885626
crack_ho,0.10883628429552006,0.004343666944033098,-0.40774271485986113,-0.060780424789819223,0.1700882106150881,-0.07979439487128959,-0.0225932700045548,-0.687104932001996,-0.11376312492021867,0.14838222115252628
ng,0.6694733482743225,0.17543327446304535,-0.29729834468193783,-0.08340450583494385,0.31285712284146155,0.1133803207581979,-0.0007617351393888194,-0.6199094068363247,-0.18623171297868688,0.23562426143698256
bzwti,1.5290242102321991,0.25025278811599616,-0.059069532735632424,-0.04734116626057457,0.15366829214179456,0.2488533977464988,0.02723237949437518,-0.4183512256232298,-0.310907872299836,0.1652362976220062
BOOK_CORE3_EQ_tb0_rb0,,,,,,0.7583078977682854,0.11888248388178857,-0.2918716970784354,-0.1210761669184102,0.16601828609168476
BOOK_CORE3_EQ_tb0_rb20,,,,,,0.7567517243536933,0.1185927732130132,-0.2921229633211959,-0.1210788124210557,0.16601713194015777
BOOK_CORE3_EQ_tb5_rb0,,,,,,0.7160459210621465,0.11108910682430229,-0.2976670640063893,-0.12157192186073465,0.16606430208832001
BOOK_CORE3_EQ_tb5_rb20,,,,,,0.7144897042814289,0.11080139838134939,-0.29791629025378097,-0.12157456736338015,0.16606318997191366
BOOK_CORE3_EQ_tb10_rb20,,,,,,0.6722259534257801,0.10306293132818145,-0.3036637099751005,-0.12207032230570461,0.16611546690972384
BOOK_CORE3_EQ_tb20_rb20,,,,,,0.5877123245089476,0.08774332210220237,-0.3755480519131905,-0.1230618321903535,0.16623865333771642
