cap,tamed,subset,scheme,ov,IS_sh,IS_dd,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst
NOCAP,False,CORE3,EQ,OFF,1.3102422285196573,-0.2016451604581987,0.7144897042814289,0.11080139838134939,-0.29791629025378097,0.16606318997191366,-0.12157456736338015
NOCAP,False,CORE3,EQ,V2,1.1308906088922241,-0.10248065768417114,0.9502840197081102,0.06269685615566156,-0.11135550698846908,0.06627127455191051,-0.028486405465007976
NOCAP,False,CORE3,EQ,V3,0.8463189952624325,-0.1830392156944225,0.795452091927084,0.08950723035406538,-0.20014437209532632,0.11597665943466537,-0.06260447432244803
NOCAP,False,CORE3,HLV,OFF,1.4663420297520977,-0.14671959854597894,0.7073838341192933,0.09519937846058868,-0.2549525512815193,0.14290222786581744,-0.11413619421955881
NOCAP,False,CORE3,HLV,V2,1.266646042666233,-0.10096221710494568,0.6334221788058488,0.03456854533339615,-0.12920695541369032,0.05611061000505284,-0.02646935151217456
NOCAP,False,CORE3,HLV,V3,1.0842345906197541,-0.16132182657554317,0.7403696412222454,0.07123184087729384,-0.18464867076751146,0.09959780515669758,-0.06976491561589858
NOCAP,False,CORE3,RP05,OFF,1.5178621426158734,-0.13309128456631858,0.6994745217932089,0.09043536607311142,-0.24373325520390487,0.13715765627319132,-0.1107178133662945
NOCAP,False,CORE3,RP05,V2,1.3502059432441307,-0.10035046599326014,0.6111388524396232,0.030877637218944542,-0.14524409487033496,0.0519420444793544,-0.02307074008377372
NOCAP,False,CORE3,RP05,V3,1.2236546402757125,-0.14340119868256418,0.656130482167563,0.05975925626248313,-0.18199190468302884,0.0953697966407057,-0.07104627550607764
NOCAP,False,CORE3,RP07,OFF,1.5151823690767658,-0.1333655687134062,0.698712880128446,0.09047439990670236,-0.2441479894773526,0.13740694203495976,-0.11126860104968939
NOCAP,False,CORE3,RP07,V2,1.3487006719104415,-0.10036568456032702,0.6560283158865684,0.03365504005997266,-0.13105680098862527,0.052536547201171895,-0.023185640828224392
NOCAP,False,CORE3,RP07,V3,1.221092899460373,-0.14345839054799647,0.6650127448078376,0.060708055434792296,-0.1811781215538142,0.09545352412065979,-0.07136062992939098
NOCAP,False,CORE3B5,EQ,OFF,1.1174800401098768,-0.214419286401758,0.7600356699309283,0.10702808290066224,-0.2581036533934239,0.14809685015797483,-0.09919881888467937
NOCAP,False,CORE3B5,EQ,V2,-0.17418552779972896,-0.15101343574142567,0.8915747555106106,0.04949063917504626,-0.1215854679616154,0.05592072747270006,-0.029776449866614686
NOCAP,False,CORE3B5,EQ,V3,0.8155123871122311,-0.17094058402302426,0.7354205561273287,0.07552154598279803,-0.20939099035209052,0.10661801575339593,-0.06141918881219981
NOCAP,False,CORE3B5,HLV,OFF,1.217425209565987,-0.17335757405946695,0.7528304640354312,0.09502684843744014,-0.22948451028769823,0.13215076200668044,-0.0950782915852019
NOCAP,False,CORE3B5,HLV,V2,0.5781369524211546,-0.13170911104512462,0.7692718800120554,0.03967840059186756,-0.12519627665912036,0.05234672005878926,-0.029490191548051436
NOCAP,False,CORE3B5,HLV,V3,1.0076009488379363,-0.15526682131015557,0.6399969916966478,0.058180454554189076,-0.19639288302858138,0.09545747709845953,-0.06053829500579522
NOCAP,False,CORE3B5,RP05,OFF,1.274027614805114,-0.1611220591916407,0.750140422703678,0.09103329382266767,-0.22428859116132904,0.12684721855963363,-0.09109018400870071
NOCAP,False,CORE3B5,RP05,V2,0.5984203022470684,-0.1311465332804166,0.7917935727878264,0.04195618632492537,-0.12277549911408336,0.053710943893558336,-0.030647932127468
NOCAP,False,CORE3B5,RP05,V3,1.143169452747435,-0.14882001536550904,0.6242680196785997,0.05508129549824159,-0.19394432705639675,0.09277134628333973,-0.059771285230863336
NOCAP,False,CORE3B5,RP07,OFF,1.264865805957858,-0.16111698923182716,0.748397000561352,0.09119018254625,-0.22312367621751117,0.12743367169312397,-0.09212696996081621
NOCAP,False,CORE3B5,RP07,V2,0.5963808235460981,-0.1308575235561732,0.7925048155244714,0.04198279916498859,-0.11988651980377862,0.053693283045127896,-0.030284124523482864
NOCAP,False,CORE3B5,RP07,V3,1.1371101397379941,-0.1488917710405372,0.6222057905802661,0.054983949133994514,-0.19041808440739383,0.09295714202644711,-0.05986885212102852
NOCAP,False,CORE3B6,EQ,OFF,1.1631454257903582,-0.2716911203787059,0.7702289567733257,0.12988430139993157,-0.31389834984521847,0.1791610607483509,-0.09712424343113618
NOCAP,False,CORE3B6,EQ,V2,0.5352318552708971,-0.10578201098165163,0.6177789860370921,0.039043763801186904,-0.15780165546746516,0.06542820512128603,-0.03769393334738834
NOCAP,False,CORE3B6,EQ,V3,0.6282017186831904,-0.19474993776521266,0.785683226066659,0.08798301189894997,-0.25241339579486943,0.1157474847789912,-0.057737844291258784
NOCAP,False,CORE3B6,HLV,OFF,1.3025050032523484,-0.2141567013904525,0.7746706811869968,0.1135576912201337,-0.26992003543806864,0.15407476953374907,-0.09252407509732541
NOCAP,False,CORE3B6,HLV,V2,1.1491680399093915,-0.10062160176758184,0.7792463414345403,0.0485253375179282,-0.12329404364500085,0.06336318223823276,-0.03394043213931565
NOCAP,False,CORE3B6,HLV,V3,0.7912943176238852,-0.18825075376351974,0.77269312467689,0.07833380308405746,-0.22622361076273556,0.10467124273137161,-0.05746396171764052
NOCAP,False,CORE3B6,RP05,OFF,1.386052022011075,-0.18782469602482,0.7700221471366582,0.1055753039434324,-0.2451832915430271,0.1436776321922843,-0.09043350721647392
NOCAP,False,CORE3B6,RP05,V2,1.360176758927041,-0.10226168763830579,0.8989132240859076,0.05013324681242737,-0.11317647885571902,0.05616319352625957,-0.03029333170219184
NOCAP,False,CORE3B6,RP05,V3,0.9242009326396259,-0.18177584974357786,0.7473084937339368,0.07195912482089728,-0.21569708104757757,0.09961515964949695,-0.05647153822501226
NOCAP,False,CORE3B6,RP07,OFF,1.374228743897369,-0.19042620958825263,0.770224860191349,0.10648172061827488,-0.24848851557696716,0.14493749836232,-0.09124126812693059
NOCAP,False,CORE3B6,RP07,V2,1.3462552825111034,-0.10294492819908518,0.9001681426045852,0.05040504058178663,-0.1103308650210334,0.056386108456262476,-0.03061850761619602
NOCAP,False,CORE3B6,RP07,V3,0.9185428837345698,-0.18267801250501414,0.7374420746586573,0.0714075204219955,-0.21734131718234528,0.10034855397049772,-0.05660916793778222
NOCAP,False,CORE3BB,EQ,OFF,1.0634264131535862,-0.2710422994828211,0.7786585621764442,0.12250505290567304,-0.27772599764969175,0.165994292097617,-0.1001435777862578
NOCAP,False,CORE3BB,EQ,V2,0.583566289742609,-0.10278866067604919,0.6413436820623394,0.03786947858793588,-0.1557792917091695,0.06080494181921839,-0.03611488195595404
NOCAP,False,CORE3BB,EQ,V3,0.6272457305917138,-0.18969402135867808,0.7699327094350368,0.08341612434494494,-0.2189870405667933,0.1121763133882169,-0.06696265316318328
NOCAP,False,CORE3BB,HLV,OFF,1.1599317071700725,-0.22522624500474775,0.7816955381363092,0.10927177325764248,-0.24143493551103334,0.14631044521712042,-0.09644175355842023
NOCAP,False,CORE3BB,HLV,V2,0.6036455436271311,-0.10497867071924005,0.652970597010948,0.03686398853312234,-0.14805157798898705,0.05798623504787353,-0.03530510844956235
NOCAP,False,CORE3BB,HLV,V3,0.7814677105394339,-0.18035182448870002,0.7418905279617612,0.07404431690574564,-0.20350784660583487,0.1034873744163659,-0.06205196141436416
NOCAP,False,CORE3BB,RP05,OFF,1.2303254861730355,-0.2039587958064054,0.7806053504227614,0.1025701563769521,-0.22407559696562673,0.13709282247866117,-0.09174703472707423
NOCAP,False,CORE3BB,RP05,V2,0.9598026113062074,-0.10599838545014462,0.6473106509006304,0.038414991992839154,-0.15032387460339014,0.06109417607326392,-0.051457013624881975
NOCAP,False,CORE3BB,RP05,V3,0.9006410847592322,-0.17995448567157235,0.7250344837976797,0.06965498351563082,-0.19450730746337874,0.09972630232792506,-0.06150886839815231
NOCAP,False,CORE3BB,RP07,OFF,1.217731773604629,-0.20608944148145347,0.7801132517544322,0.1034180189550804,-0.22539748565326578,0.13839247563683207,-0.09298843524683376
NOCAP,False,CORE3BB,RP07,V2,0.9441736290817405,-0.10669844058839062,0.6489191924133462,0.036343561642405486,-0.15239713517628506,0.057541497723420494,-0.05192412761656905
NOCAP,False,CORE3BB,RP07,V3,0.892883812253844,-0.18053011148599463,0.7141356677465346,0.06877772361524781,-0.1962865509418763,0.10015854646138196,-0.0616596887828196
NOCAP,False,FULLB,EQ,OFF,1.1124450872957743,-0.2501082860963857,0.7194622504021223,0.08966720758957236,-0.31112562591149395,0.13127651311700927,-0.07153112699018414
NOCAP,False,FULLB,EQ,V2,0.5465222700117057,-0.12826403115149365,0.6860808849932213,0.037203995659782274,-0.13301599487045557,0.055463031104680344,-0.029694485612660387
NOCAP,False,FULLB,EQ,V3,1.1021138602629903,-0.18038659841590254,0.6907387234063571,0.06574676649607114,-0.20238900266566684,0.09927359493638638,-0.05207391949218427
NOCAP,False,FULLB,HLV,OFF,1.167362269318582,-0.2262152905395286,0.7076809810314715,0.07912626407458201,-0.2847564510939419,0.117307261388742,-0.06891402901922529
NOCAP,False,FULLB,HLV,V2,0.5642767862987998,-0.10731673766688388,0.607681755757334,0.03240755021299724,-0.1336882228254106,0.05494661637707894,-0.030055073271916755
NOCAP,False,FULLB,HLV,V3,1.16941632791065,-0.1804010296932287,0.6418676395830732,0.056473618611216914,-0.19143796446770933,0.09218923101635995,-0.053242399540597694
NOCAP,False,FULLB,RP05,OFF,1.2305226305362444,-0.21098123890702758,0.7010733269740829,0.07355573124872938,-0.26888789129434976,0.10982810936949759,-0.06449805478412908
NOCAP,False,FULLB,RP05,V2,0.8691681594890054,-0.11962700077205268,0.6075737441020489,0.031727373909712364,-0.1265045940240319,0.053768115477160865,-0.03155728809033658
