Date,prob,prob_scaled,raw,wind5
2020-01-02,0.2859552,0.4066289768511685,-0.0008778228979724166,0.0
2020-01-03,0.12833792,0.1490004340026641,6.350565788270157e-05,0.0
2020-01-06,0.30203024,0.43290395522955377,0.0003263043733720225,0.0
2020-01-07,0.23291022,0.3199259177123696,-0.018057242252571742,0.0
2020-01-08,0.48993304,0.7400348069457072,-0.0007078651021499152,0.0
2020-01-09,0.56841767,0.8683194762369351,0.0010287409845805336,0.0
2020-01-10,0.36320812,0.532900407864641,0.00923403169089105,0.0
2020-01-13,0.20070292,0.26728245734132944,0.010244418993519999,0.0
2020-01-14,0.18514103,0.2418462348797468,0.005169723950980275,0.0
2020-01-15,0.1322802,0.15544417018354875,-0.012913838056808197,0.0
2020-01-16,0.22907063,0.3136500447535602,-0.020483233615332885,0.0
2020-01-17,0.55321956,0.8434778627191309,-0.0013234531241350278,0.0
2020-01-21,0.3679668,0.5406785738497994,0.00037347940853496423,0.0
2020-01-22,0.35199577,0.5145736020428137,-0.0013568883872870944,0.0
2020-01-23,0.12962466,0.15110364423955283,0.00012185852116945686,0.0
2020-01-24,0.15419918,0.19127117967531887,-0.0003083244350668521,0.0
2020-01-27,0.09669457,0.09727874780037711,0.0017989806712213397,1.0
2020-01-28,0.09406212,0.09297596185385731,0.01941941140513233,1.0
2020-01-29,0.34194592,0.4981469241094039,-0.008624871856995795,1.0
2020-01-30,0.11839428,0.13274735518639616,-0.021390979227952255,1.0
2020-01-31,0.27401173,0.3871071563561118,-0.002761589481045751,1.0
2020-02-03,0.17193127,0.22025462091226555,0.03130770365198422,1.0
2020-02-04,0.15232305,0.18820460698591418,-0.0001706153788601767,1.0
2020-02-05,0.325943,0.4719898299438515,-0.0001779500616515165,1.0
2020-02-06,0.19384348,0.25607057267002203,0.0063887024347349716,1.0
2020-02-07,0.36587864,0.5372654361884116,0.023231198973178803,1.0
2020-02-10,0.23979801,0.3311841523128136,0.002464571152245843,1.0
2020-02-11,0.16880287,0.21514119833070258,-0.004777542378598634,1.0
2020-02-12,0.5557424,0.8476014719690176,0.028294296875150882,0.0
2020-02-13,0.49323457,0.745431224706796,-0.0028461443847246554,0.0
2020-02-14,0.39272547,0.5811471037281664,0.0035907123158167584,0.0
2020-02-18,0.30572286,0.4389396269265951,-0.012354371780178963,0.0
2020-02-19,0.22752672,0.3111264944866985,0.0037265456832822823,0.0
2020-02-20,0.26513025,0.37259020267059406,-0.012142849763345663,0.0
2020-02-21,0.2751669,0.38899530097330753,-0.0008930522551022118,0.0
2020-02-24,0.2745416,0.38797321562055603,-0.015978877528789306,0.0
2020-02-25,0.47260588,0.7117132222375869,0.0,0.0
2020-02-26,0.18635441,0.24382953933569004,0.0,0.0
2020-02-27,0.37038517,0.544631445841017,0.0,0.0
2020-02-28,0.4045204,0.600426141199769,0.0,0.0
2020-03-02,0.46850023,0.7050024442158966,-6.149436996344352e-05,0.0
2020-03-03,0.5518821,0.8412917438333821,-0.006768735583993789,0.0
2020-03-04,0.20996426,0.2824203003560899,0.010398473870278794,0.0
2020-03-05,0.21772406,0.2951038379009068,-0.00871669523099734,0.0
2020-03-06,0.1859412,0.24315414073613328,-0.0009819576561249806,0.0
2020-03-09,0.14199573,0.17132439146424822,-0.006695548302175752,0.0
2020-03-10,0.23250006,0.31925551214248865,-0.025963488239175905,0.0
2020-03-11,0.49876288,0.7544673418953409,-0.004690643997049522,0.0
2020-03-12,0.7109559,1.0,-0.09485812011065747,0.0
2020-03-13,0.43333563,0.6475252196376213,0.0,0.0
2020-03-16,0.21894537,0.2971000998777647,0.0,0.0
2020-03-17,0.25843573,0.3616478685330513,0.0,0.0
2020-03-18,0.3361789,0.4887206199188792,0.0,0.0
2020-03-19,0.3707013,0.5451481878780958,0.0,0.0
