Date,prob,prob_scaled,raw,joint
2020-01-02,0.015471284021000682,0.23475420777137934,-0.0008778228979724224,0
2020-01-03,0.014209400417831811,0.2137948513672327,6.350565788270451e-05,0
2020-01-06,0.01676501783331643,0.25624258276597256,4.970704424455029e-05,0
2020-01-07,0.02213954850554996,0.3455112788497315,-0.008254320126916743,0
2020-01-08,0.037895039106508425,0.6072033572620376,-0.0007078651021499152,0
2020-01-09,0.021871472565660043,0.3410586501338819,0.0010287409845805336,0
2020-01-10,0.020628222339079835,0.3204087862851134,0.008900698357557715,0
2020-01-13,0.015678748155325325,0.2382000998659183,-0.004477915279036882,0
2020-01-14,0.01443848100608764,0.21759978367831762,0.005169723950980275,0
2020-01-15,0.03651550763332921,0.5842899191727471,-0.012913838056808197,0
2020-01-16,0.054219938319853264,0.8783530734601318,-0.020483233615332885,0
2020-01-17,0.04940550481521707,0.7983873559768918,-0.0013234531241350278,0
2020-01-21,0.08707215031057418,1.0,0.00037347940853496423,0
2020-01-22,0.219633879361756,1.0,-0.0013568883872870944,0
2020-01-23,0.02154608067429782,0.3356540275482856,0.00012185852116945686,0
2020-01-24,0.04264534493147977,0.6861039409325461,-0.0003083244350668521,0
2020-01-27,0.051166208400267386,0.8276319026755383,0.001968292840533509,0
2020-01-28,0.02809540470991576,0.4444355477487589,0.000927411941784754,0
2020-01-29,0.017725307414368105,0.27219258919279926,-0.002770531966858541,0
2020-01-30,0.0463317225468495,0.7473331241050473,0.002043426142948469,0
2020-01-31,0.020936892877109634,0.3255356742181841,-0.002761589481045751,0
2020-02-03,0.039761737450444104,0.6382084323666883,0.03130770365198422,0
2020-02-04,0.07378852295853483,1.0,-0.0001706153788601767,0
2020-02-05,0.03487561652200616,0.5570520168972134,-0.00017795006165151374,0
2020-02-06,0.05105054524743446,0.8257107863087317,0.006388702434734807,0
2020-02-07,0.8760692621392702,1.0,0.023231198973178477,0
2020-02-10,0.8963186962106523,1.0,0.002464571152245772,1
2020-02-11,0.9339671311494848,1.0,-0.00477754237859855,1
2020-02-12,0.5864592379727157,1.0,0.028294296875150584,0
2020-02-13,0.6369649109652024,1.0,-0.0028461443847245904,0
2020-02-14,0.035587523423963686,0.5688764913948846,0.0035907123158167194,0
2020-02-18,0.016961517553663482,0.25950636055159915,-0.012354371780178564,0
2020-02-19,0.005853573683252784,0.07500808043087887,0.003726545683282192,0
2020-02-20,0.004283922590494878,0.0489368353488009,-0.012263298527979517,0
2020-02-21,0.0032566955843726414,0.03187502641871113,0.0,0
2020-02-24,0.00898047106026895,0.126944531938366,0.0,0
2020-02-25,0.009597138669345555,0.13718712180091125,0.0,0
2020-02-26,0.01018793383636296,0.14699998127247382,0.0,0
2020-02-27,0.0041338827508100645,0.04644473665849548,0.0,0
2020-02-28,0.0032830433531995267,0.032312651787572394,0.0,0
2020-03-02,0.01796020030269615,0.2760940613657506,-6.14943699634445e-05,0
2020-03-03,0.017266904334707657,0.26457870666097594,-0.0066440787913419,0
2020-03-04,0.11612844589304452,1.0,0.009621443259831032,0
2020-03-05,0.03579404021965193,0.5723066485927454,-0.005848276744261632,0
2020-03-06,0.09436004578063899,1.0,-0.0058999103550993436,0
2020-03-09,0.04973429477513179,0.8038484190532741,-0.006815833910992361,0
2020-03-10,0.17565916953374647,1.0,-0.027697612624033315,0
2020-03-11,0.018130525136010333,0.27892308527646953,-0.0046906439970495605,0
2020-03-12,0.25763457667504874,1.0,-0.09485812011065775,0
2020-03-13,0.926263862238265,1.0,0.0,1
2020-03-16,0.0695831784233073,1.0,0.0,0
2020-03-17,0.09980031887676688,1.0,0.0,0
2020-03-18,0.11946963265705213,1.0,0.0,0
2020-03-19,0.23419900397392848,1.0,0.0,0
2020-03-20,0.15384560007316198,1.0,0.0,0
2020-03-23,0.3730998480585632,1.0,0.0,0
2020-03-24,0.250895662049944,1.0,0.0,0
2020-03-25,0.2522688550994069,1.0,0.0,0
2020-03-26,0.21152317192671527,1.0,0.0,0
2020-03-27,0.1351587983062929,1.0,0.0,0
2020-03-30,0.12511022949987097,1.0,0.0,0
2020-03-31,0.23983429869420553,1.0,0.0,0
2020-04-01,0.1834017809476278,1.0,0.0,0
2020-04-02,0.18285670115867378,1.0,0.0,0
2020-04-03,0.9243261561595638,1.0,-2.898964616107507e-05,1
2020-04-06,0.9269168831863358,1.0,0.014017250202351419,1
2020-04-07,0.8581564415949439,1.0,0.004679711333300101,1
2020-04-08,0.8361362895664193,1.0,-0.005703594604241473,1
2020-04-09,0.09438779423848927,1.0,-0.0025829875801637657,0
2020-04-13,4.177394392981193e-05,0.0,0.008020191995595331,0
2020-04-14,0.046120886649608166,0.7438312284452795,0.014125219301613277,0
2020-04-15,0.02083983336976407,0.323923556585656,0.0054891162815646315,0
2020-04-16,0.025166607364749693,0.3957894545285118,-0.004566151572050921,0
2020-04-17,0.019653474196248005,0.3042186292226174,0.008823660914354511,0
2020-04-20,0.960515030037281,1.0,0.21143449164834408,1
2020-04-21,0.9999846838011021,1.0,0.07199959534648269,0
2020-04-22,0.09254276050713794,1.0,0.00046527973863385626,0
2020-04-23,0.10759863237136316,1.0,0.00023775223431943436,0
2020-04-24,0.05188229745495217,0.8395258409726652,3.705914260622086e-05,0
2020-04-27,0.08280930455663862,1.0,0.0015504198366583547,0
2020-04-28,0.06823272124428127,1.0,0.000781030543028172,0
2020-04-29,0.28760738394364843,1.0,-2.7521869549927478e-05,0
2020-04-30,0.05546243690893954,0.8989904529259648,-0.0013849456300855808,0
2020-05-01,0.010061927198311156,0.14490706396252234,0.0011203145469943943,0
2020-05-04,0.02064774598410571,0.32073306582514205,-0.00020325101136726102,0
2020-05-05,0.09977623593538705,1.0,-0.00017404378179645724,0
