subset,scheme,overlay,IS_sharpe,IS_maxdd,OOS_sharpe,OOS_cagr,OOS_maxdd,OOS_vol,OOS_worst
FULL,EQ,False,1.604633175514532,-0.17916508578720514,0.5083243773792737,0.04758029922853746,-0.24662399682806502,0.10151404580314687,-0.05175956565021479
FULL,EQ,True,1.466505759423089,-0.11525060255772823,0.39946165651501675,0.019890429154777234,-0.12097111626806378,0.052757059181666725,-0.028238724921238207
FULL,INV,False,1.692896522485229,-0.13505045007535088,0.4610800861868368,0.039973097449934825,-0.2187596346487367,0.09470582997801277,-0.07013393803889859
FULL,INV,True,1.6764171293910486,-0.09816648038967135,0.15329357116287945,0.006909157809848132,-0.28632359476820746,0.05464390920784838,-0.05107193326207866
FULL,HLV,False,1.683882698507023,-0.14795288828747177,0.4875908126757561,0.043003011454496365,-0.2277772921148422,0.095705674735316,-0.0582809934345295
FULL,HLV,True,1.561850653956049,-0.11412197096037047,0.2085586756253953,0.009679897240460589,-0.2155725746746915,0.05287321621761156,-0.03385980191146555
NOHO,EQ,False,1.67477818705503,-0.1422309400995957,0.5905350361717855,0.06289103341990465,-0.3036981678582221,0.11423978835216107,-0.06469945706276847
NOHO,EQ,True,1.4670354512501234,-0.08819055717529545,0.5661750194680536,0.03581800690391357,-0.12682652688907348,0.06597604150865154,-0.029745393380529072
NOHO,INV,False,1.9219606268093405,-0.08598433440379338,0.5684213145036379,0.056748246666267654,-0.27510723396660197,0.10718486224017143,-0.09194116799579474
NOHO,INV,True,1.87270538933434,-0.08537294646152715,0.3617908250840873,0.022941340753002137,-0.23059389062048397,0.06929672444970117,-0.03428910733410186
NOHO,HLV,False,1.8318149976045153,-0.10027931444461347,0.589053555860575,0.05937400646050661,-0.2866442180122918,0.1077179219483741,-0.07500305883015877
NOHO,HLV,True,1.597337467118186,-0.0890515491473115,0.45154791920988707,0.028248810151313197,-0.1720985416907932,0.06657617147885836,-0.02875108885907821
CORE3,EQ,False,1.6006612009719547,-0.15048291182537643,0.6203784930814024,0.0752659918217835,-0.34573342642167304,0.13063811772896777,-0.10364582419620794
CORE3,EQ,True,1.1528580874467185,-0.09323663124173465,0.40766635673786517,0.026889694881285786,-0.2260301525088808,0.07127118684355296,-0.07693993671851392
CORE3,INV,False,1.9293039184361205,-0.08046750330972297,0.5579752863235682,0.062355617001818686,-0.30006556015673946,0.12166457540319804,-0.1287743290950902
CORE3,INV,True,1.784124088263222,-0.07851920178117378,0.16037478727777366,0.008809421537748108,-0.32960171838121144,0.06987897816436421,-0.07529841693731147
CORE3,HLV,False,1.8236643443791165,-0.10196969757165131,0.597851673069318,0.06802336354243876,-0.3191489975263506,0.12262044263858822,-0.11903993122970072
CORE3,HLV,True,1.3673871285793646,-0.0933648391987103,0.34162304230658264,0.022099527835929722,-0.26934529319503886,0.07140434549640369,-0.0729312904502931
CORE2,EQ,False,1.2200529902059505,-0.2269733160350429,0.5739970315124265,0.08958320612091097,-0.419380552331272,0.17604173836027168,-0.12939891412553695
CORE2,EQ,True,0.7757326920133022,-0.1338069001995531,0.4321336784978648,0.0272957966262517,-0.12776707227030526,0.06745085331813402,-0.046120479029663104
CORE2,INV,False,1.3231432218931012,-0.12955401429232083,0.5131148689615145,0.07540960580965783,-0.36488238853292787,0.1692904578044793,-0.14087719839920043
CORE2,INV,True,0.9082104473312346,-0.11426180824958088,0.2235068832556333,0.011968489661900339,-0.20592543563496957,0.06170329233222804,-0.05104571635750878
CORE2,HLV,False,1.3048345711283316,-0.15098602500069103,0.5552967749723509,0.08262165610026995,-0.3823354272598902,0.16806742641489095,-0.13461628856287639
CORE2,HLV,True,0.8057053836214605,-0.13330422752608118,0.29527214510046484,0.018090105441241677,-0.16805768983206204,0.06859486796923413,-0.07915117448094595
NGKEEP3,EQ,False,1.3504527365039456,-0.19120973743123182,0.5323594263533502,0.0683830047578653,-0.3755907348632085,0.1432678834984654,-0.08626594275035797
NGKEEP3,EQ,True,1.1018913666246204,-0.11089090054467377,0.37072076665170095,0.022166069340748606,-0.14710607185918956,0.06471821427041957,-0.03570556591843768
NGKEEP3,INV,False,1.3793432249968394,-0.14251766089112716,0.5111879066279676,0.06365108628987937,-0.3453316943843864,0.1395994285969639,-0.10456569669159442
NGKEEP3,INV,True,1.241820440854146,-0.09160250390269009,0.1446672938340023,0.007486763524305218,-0.19224891368314534,0.06690861352505256,-0.050997712035843364
NGKEEP3,HLV,False,1.3875880709146144,-0.14750209028544103,0.5295381192482612,0.06577760454724513,-0.3555685884271411,0.13812381353398948,-0.09382352077273504
NGKEEP3,HLV,True,1.1607098415005839,-0.1081108275629582,0.32590502453324716,0.020270890595432522,-0.16119098339045723,0.06876412282519691,-0.041182509121548076
