depth_scaled,volcap,subset,gate,overlay,IS_sh,IS_dd,IS_cagr,IS_vol,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst,max_corr
False,False,CORE3,NONE,OFF,1.3102422285196573,-0.2016451604581987,0.2232031723772505,0.16395902035087545,0.7144897042814289,0.11080139838134939,-0.29791629025378097,0.16606318997191366,-0.12157456736338015,0.3376920329597893
False,False,CORE3,NONE,V2_BOOK,1.1308906088922241,-0.10248065768417114,0.07256243675490137,0.06373684559318418,0.9502840197081102,0.06269685615566156,-0.11135550698846908,0.06627127455191051,-0.028486405465007976,
False,False,CORE3,NONE,V2_PERC,1.2231630897973798,-0.10783741109350709,0.08921742661749921,0.07198120731105302,0.869652755002063,0.0643562575482699,-0.12461250241867683,0.07490906881773081,-0.05181797871663933,
False,False,CORE3,NONE,JOINT_PERC,0.9788022022344007,-0.10783741109350709,0.06699936572063625,0.06865424568164084,0.8543067906266861,0.0638707879459639,-0.13175596279339452,0.07579913042794044,-0.05181797871663933,
False,False,CORE3,PROD_SIZE,OFF,1.325014858983971,-0.19777226073872511,0.22522475674816467,0.1632965465478157,0.7198013442315516,0.10257150153327577,-0.29313124443827854,0.1513016795573282,-0.10935567936642066,0.30937940009125686
False,False,CORE3,PROD_SIZE,V2_BOOK,1.1445405570012037,-0.10165064944967706,0.07389773196076499,0.06408339474526127,0.8946649222881107,0.05738577509254106,-0.10692919791618194,0.06467367149248118,-0.028486405465007976,
False,False,CORE3,PROD_SIZE,V2_PERC,1.5144037617847328,-0.1074826966847422,0.12001903341596565,0.07679351002913479,0.8589674849369311,0.062305904756526864,-0.11735400227922099,0.07347240544823355,-0.05181797871663933,
False,False,CORE3,PROD_SIZE,JOINT_PERC,1.277477296976061,-0.1074826966847422,0.09452090196433405,0.07276855666658856,0.8403527292263494,0.0615054542587834,-0.1300834827558106,0.07427328912184854,-0.05181797871663933,
False,False,CORE3,UT_GATE,OFF,0.6305311660087249,-0.2751740553383575,0.07776838952249854,0.13254993014899066,0.9612779785262751,0.12332628774963816,-0.18458963697060338,0.1294438744568554,-0.09485812011065775,0.3195416477811277
False,False,CORE3,UT_GATE,V2_BOOK,-0.22100035683142552,-0.12168162219213718,-0.010162029368131043,0.042194147598003176,0.9986929758611944,0.08118524789843629,-0.0999751385162656,0.08142723089746079,-0.05918786654516881,
