ann,hi90,lo90,mean20,n,neg,oos_ov_dd,oos_ov_sharpe,series,t,variant,window
0.10293719220449929,0.01374733078068014,0.002591906077176888,0.008169618428928514,198,0.398989898989899,,,raw,2.4094147327922015,V_Champ,OOS
0.05629153509755772,0.006869119801193958,0.00206604450000568,0.004467582150599819,198,0.21212121212121213,,,ov,3.060194636514868,V_Champ,OOS
0.10946288212939352,0.01373176928546327,0.003643291369996018,0.008687530327729644,236,0.3898305084745763,,,raw,2.8331305294736073,V_Champ,FULL
0.053691147824097354,0.006386568488974431,0.002135835927548959,0.004261202208261695,236,0.2245762711864407,,,ov,3.298103341622514,V_Champ,FULL
,,,,,,-0.10731104468333585,0.8624944766462441,,,V_Champ,
0.12610570522188747,0.01575168017682646,0.004265098429822341,0.010008389303324402,198,0.3939393939393939,,,raw,2.866614414381834,V3_H1,OOS
0.05600235020815623,0.006954470667599938,0.0019347912702026375,0.004444630968901288,198,0.2878787878787879,,,ov,2.9131015608819886,V3_H1,OOS
0.13415253492025803,0.0158647679343022,0.005429285227643519,0.010647026580972859,236,0.3898305084745763,,,raw,3.3566935460541334,V3_H1,FULL
0.05558947884597011,0.006653271932061959,0.002170454868885678,0.004411863400473818,236,0.2966101694915254,,,ov,3.237926148446107,V3_H1,FULL
,,,,,,-0.12543856693212718,0.801310133653398,,,V3_H1,
0.13093711529148105,0.016200590678208344,0.0045830784156775375,0.010391834546942941,198,0.3939393939393939,,,raw,2.9428964555269057,V1_regime,OOS
0.05686526809747211,0.007058329158068859,0.00196790387327592,0.0045131165156723895,198,0.2878787878787879,,,ov,2.916878748995553,V1_regime,OOS
0.1382060060803408,0.016236767413847004,0.0057006938687467765,0.01096873064129689,236,0.3898305084745763,,,raw,3.4251017378906763,V1_regime,FULL
0.05631345232937921,0.006738622070609886,0.002200021156275702,0.004469321613442794,236,0.2966101694915254,,,ov,3.239779920236474,V1_regime,FULL
,,,,,,-0.12523134895891885,0.8160591022251789,,,V1_regime,
0.13093711529148105,0.016200590678208344,0.0045830784156775375,0.010391834546942941,198,0.3939393939393939,,,raw,2.9428964555269057,V2_both,OOS
0.05686526809747211,0.007058329158068859,0.00196790387327592,0.0045131165156723895,198,0.2878787878787879,,,ov,2.916878748995553,V2_both,OOS
0.1382060060803408,0.016236767413847004,0.0057006938687467765,0.01096873064129689,236,0.3898305084745763,,,raw,3.4251017378906763,V2_both,FULL
0.05631345232937921,0.006738622070609886,0.002200021156275702,0.004469321613442794,236,0.2966101694915254,,,ov,3.239779920236474,V2_both,FULL
,,,,,,-0.12523134895891885,0.8160591022251789,,,V2_both,
