t,cb,budget,trail,cool,zcut,entries,train_t,VALIDATE_t,OOS_t,FULL_t
1.5,0.99,0.075,0.85,3,-0.4479166666666665,858,3.6362166866065575,1.6141839079978872,3.9573526438508027,3.662813230800757
1.5,0.995,0.075,0.85,3,-0.4479166666666665,858,3.6362166866065575,1.6141839079978872,3.9573526438508027,3.662813230800757
1.5,0.999,0.075,0.85,3,-0.4479166666666665,858,3.6362166866065575,1.6141839079978872,3.9573526438508027,3.662813230800757
1.5,0.99,0.05,0.65,3,-0.4479166666666665,858,3.535622994560023,1.8320153712765372,3.9297402890893243,3.6818055615569114
1.5,0.99,0.075,0.65,3,-0.4479166666666665,858,3.535622994560023,1.8320153712765372,3.9297402890893243,3.6818055615569114
1.5,0.995,0.05,0.65,3,-0.4479166666666665,858,3.535622994560023,1.8320153712765372,3.9297402890893243,3.6818055615569114
1.5,0.995,0.075,0.65,3,-0.4479166666666665,858,3.535622994560023,1.8320153712765372,3.9297402890893243,3.6818055615569114
1.5,0.999,0.05,0.65,3,-0.4479166666666665,858,3.535622994560023,1.8320153712765372,3.9297402890893243,3.6818055615569114
1.5,0.999,0.075,0.65,3,-0.4479166666666665,858,3.535622994560023,1.8320153712765372,3.9297402890893243,3.6818055615569114
1.5,0.99,0.05,0.85,3,-0.4479166666666665,858,3.452661354638739,1.5842247438921477,3.8512755772579434,3.5196027120623903
