delta,oos_dd,oos_sharpe,real_delta,shuf_mean,variant
,-0.2846089424599276,0.7537514667679228,,,B1h raw
,-0.1102514931023666,0.7537514667679228,,,B1h + ES gear
,-0.10731104468333585,0.8624944766462441,,,Champ overlay
-0.009896031189015136,,,,,cold_fwd5
-0.03266166101051973,,,,,cold_fwd10
,,,-0.009896031189015136,0.05999648494370443,cold_fwd5_control
-0.09537239266539885,,,,,rel_winter
-0.06843354429092509,,,,,rel_summer
,-0.2846089424599276,0.7475093435657699,,,B1h + util tilt
