candidate,leg,window,sharpe,cagr,maxdd,vol,worst
S1,crack,OOS,-0.2528116524070592,-0.04915342428752767,-0.699500144492931,0.15290586126897648,-0.11344428290104445
S1,cross,OOS,-0.0224166217342934,-0.017087459021679963,-0.6069030299541411,0.1647586164965896,-0.1038350713272297
S1,book_raw,OOS,-0.16171479933849078,-0.020083706574874016,-0.4341784460431015,0.09652260626772212,-0.10364136711132704
S1,book_ov,OOS,-5.1688422563342516e-05,-0.00031144523364801113,-0.10139657532802826,0.024863525435728125,-0.03713217936208732
S2,crack,OOS,-0.31024182220411817,-0.11254167928831549,-0.8617827206156319,0.26670660066279744,-0.2745879703494681
S2,cross,OOS,-0.459815160203483,-0.3153817432140533,-0.9978579795413411,0.42289151831261446,-0.9405438691984493
S2,book_raw,OOS,-0.44787052684147943,-0.11063204688188033,-0.8753305446673332,0.20963882999147201,-0.31351462306614974
S2,book_ov,OOS,-0.07022396099993472,-0.002556531655158123,-0.11080281664359792,0.029836084558441237,-0.0969848668512889
S3,crack,OOS,-0.24451535063425409,-0.04900867891703631,-0.6068482135665011,0.15575027149793827,-0.11344428290104445
S3,cross,OOS,0.13684436749456796,-0.005546124932442997,-0.7589997765744994,0.3100265117809915,-0.21017521384171803
S3,book_raw,OOS,-0.0003256469278980818,-0.009647005651445495,-0.4135323587191977,0.13883852202707128,-0.10364136711132704
S3,book_ov,OOS,0.164847067094418,0.0050055746125605705,-0.11308829361881911,0.03373211193433214,-0.041799829721154105
S4,crack,OOS,-0.30191611744561125,-0.04504315384004087,-0.6471271178684621,0.12614899441282454,-0.09845982997520637
S4,cross,OOS,0.05946884455296292,-0.01901546092065709,-0.5966582567281931,0.3094852501108094,-0.1812836169354497
S4,book_raw,OOS,-0.06224714780842613,-0.01579875344388071,-0.4650345516478944,0.12937337646324296,-0.10370733674199639
S4,book_ov,OOS,-0.0009402050310114549,-0.00039500485139809527,-0.10002387755958042,0.027172480127616777,-0.03740050992256414
S1,nc_shuffled,OOS,-0.10311314954118844,0.18212675759222144,0.0,0.0,0.0
S2,nc_shuffled,OOS,-0.21891132253737142,0.19803489175290837,0.0,0.0,0.0
S3,nc_shuffled,OOS,-0.10393888807304227,0.1540914659476919,0.0,0.0,0.0
S4,nc_shuffled,OOS,-0.07382319455461582,0.19697080158232502,0.0,0.0,0.0
