block,window,series,n,mean20,ann,std20,t,lo90,hi90,neg_frac,worst,best
20d,OOS,raw,198,0.008169618428928514,0.10293719220449929,0.047711470975837625,2.4094147327922015,0.002591906077176888,0.01374733078068014,0.398989898989899,-0.14581039774209398,0.254615081283861
20d,OOS,ov,198,0.004467582150599819,0.05629153509755772,0.0205426322993728,3.060194636514868,0.00206604450000568,0.006869119801193958,0.21212121212121213,-0.04288438414808157,0.1152874381736366
20d,IS,raw,33,0.013647506529234148,0.17195858226835026,0.048669948751898215,1.6108288222342673,-0.0002895101982485111,0.027584523256716807,0.30303030303030304,-0.10487588926021306,0.14730791110297412
20d,IS,ov,33,0.004356562524445473,0.05489268780801295,0.015725916355809288,1.5914205429429147,-0.00014667540627782798,0.008859800455168773,0.30303030303030304,-0.022813471318253932,0.05129544222173124
20d,FULL,raw,236,0.008687530327729644,0.10946288212939352,0.04710703297438155,2.8331305294736073,0.003643291369996018,0.01373176928546327,0.3898305084745763,-0.14581039774209398,0.254615081283861
20d,FULL,ov,236,0.004261202208261695,0.053691147824097354,0.019848326042261336,3.298103341622514,0.002135835927548959,0.006386568488974431,0.2245762711864407,-0.04288438414808157,0.1152874381736366
20d,FULL,baseline,236,0.008622119007985117,0.10863869950061247,0.047278049486024966,2.801627963750002,0.0035595675373212747,0.01368467047864896,0.4110169491525424,-0.14051308240095986,0.2557353958308554
20d,FULL,scaled,236,0.0028187001231104966,0.035515621551192256,0.026523376093489603,1.632586016865425,-2.1433048812277526e-05,0.005658833295033271,0.423728813559322,-0.13986549886470537,0.12479715643383582
