N10,N100,N1000,ann,corr_level,corr_wkret,cost,forgone_pos,hi90,item,lo90,mean20,mean_abs_rel,n,series,sr,t,top10_captured,top10_ov,top10_raw,top10_satflat,window
,,,0.10293719220449929,,,5/20,,0.01374733078068014,cost,0.002591906077176888,0.008169618428928514,,198,,,2.4094147327922015,,,,,OOS
,,,0.10863869950061247,,,5/20,,0.01368467047864896,cost,0.0035595675373212747,0.008622119007985117,,236,,,2.801627963750002,,,,,FULL
,,,0.09595573161610697,,,10/20,,0.013191291441415575,cost,0.0020397770690775948,0.007615534255246585,,198,,,2.2467897061507633,,,,,OOS
,,,0.10145065058051699,,,10/20,,0.013110718384675427,cost,0.0029925594852479023,0.008051638934961665,,236,,,2.6180545649982476,,,,,FULL
,,,0.08174257849087897,,,20/40,,0.012061946380873892,cost,0.0009130660779957849,0.006487506229434839,,198,,,1.9144429678136061,,,,,OOS
,,,0.08681037075258624,,,20/40,,0.011944233285978604,cost,0.0018351906430033385,0.006889711964490971,,236,,,2.2422649862820205,,,,,FULL
,,,0.09570549966766355,,,10/40,,0.01317173416876043,cost,0.002019614984836959,0.007595674576798695,,198,,,2.2408090288070213,,,,,OOS
,,,0.10118646859277727,,,10/40,,0.013089951140594129,cost,0.0029713930804816284,0.008030672110537878,,236,,,2.6111340258866753,,,,,FULL
,,,,,,,2.5247729777455135,,overlay_ledger,,,,,,,,6,0.4251146201977849,1.2305503720378457,4,
1.0,1.0,1.0,,,,,,,dsr,,,,,raw,0.6353263533894533,,,,,,
1.0,1.0,1.0,,,,,,,dsr,,,,,ov,0.8624944766462441,,,,,,
,,,,0.9966975688076846,0.39691792164559747,,,,settlement,,,0.01991181691564429,843,,,,,,,,
