variant,window,n,ann,t,lo90,hi90,neg,worst
old_norm_raw,TRAIN,140,0.11354302938123388,2.5250401783414937,0.0031406832583465065,0.014882019818039827,0.16428571428571428,-0.12791116346372614
old_norm_raw,VALIDATE,92,0.07457054251143981,1.5427282693476418,-0.0003923403046788669,0.012228934354113758,0.15217391304347827,-0.1788855082172413
old_norm_raw,OOS,198,0.11141550800567972,2.7307354791266585,0.003515762232339405,0.014169239038403407,0.18181818181818182,-0.19378660740322687
old_norm_raw,FULL,236,0.10556762903701208,3.0104465174645534,0.003800178536226045,0.0129565879775854,0.1694915254237288,-0.19378660740322687
old_norm_gear_train,TRAIN,140,0.05185285875039379,2.5250401783414937,0.0014342880074827737,0.006796324492579733,0.16428571428571428,-0.05841450177811914
old_norm_gear_train,VALIDATE,92,0.03405489380420742,1.5427282693476414,-0.0001791740674127397,0.005584712766493282,0.15217391304347827,-0.0816934781521171
old_norm_gear_train,OOS,198,0.050881261762218945,2.730735479126659,0.0016055791661270828,0.006470811589780687,0.18181818181818182,-0.08849851581517088
old_norm_gear_train,FULL,236,0.04821065094793819,3.0104465174645525,0.0017354664741557019,0.005917017803294804,0.1694915254237288,-0.08849851581517088
new_norm_raw,TRAIN,140,0.03774019701190775,1.1017162394932816,-0.0014770343327736436,0.007467541794981223,0.12857142857142856,-0.09419126415764043
new_norm_raw,VALIDATE,92,-0.052086764727712676,-1.3478498643700596,-0.009179103135877265,0.000911362702906998,0.08695652173913043,-0.20302087376718886
new_norm_raw,OOS,198,0.0024830567005935307,0.08213510352432335,-0.0037498053070255254,0.004143941291246721,0.13131313131313133,-0.14872180344186353
new_norm_raw,FULL,236,0.0020832424860911763,0.08216843648699652,-0.003144679789611693,0.003475353200102356,0.11016949152542373,-0.14872180344186353
new_norm_gear_train,TRAIN,140,0.017235202508996333,1.1017162394932816,-0.0006745324045357225,0.0034102788345351403,0.12857142857142856,-0.04301528982011103
new_norm_gear_train,VALIDATE,92,-0.023786996603047027,-1.3478498643700598,-0.004191915091166367,0.0004162013446509659,0.08695652173913043,-0.09271562286298732
new_norm_gear_train,OOS,198,0.0011339629483795972,0.08213510352432339,-0.0017124620153811732,0.0018924561341715853,0.13131313131313133,-0.06791830999225866
new_norm_gear_train,FULL,236,0.0009513756939794954,0.08216843648699704,-0.0014361131443697708,0.001587125159287151,0.11016949152542373,-0.06791830999225866
gear_meta_train,TRAIN,,-0.21897159022186335,0.4566802474178472,,,,
