variant,window,ann,t,lo90,hi90,neg,worst
F1,OOS,0.04224944337486479,1.291339362463745,-0.0009183257932622486,0.007624586646415389,0.4090909090909091,-0.16235881643326125
F1,FULL,0.04878145530862445,1.703315656782408,0.00013254832386957408,0.007610539820356528,0.3983050847457627,-0.16235881643326125
F2,OOS,0.03136682349781862,0.5711717761360324,-0.004680239422834591,0.009659100295504215,0.2878787878787879,-0.18459500882514707
F2,FULL,0.04545136341468017,0.8629427802435363,-0.003269135339185717,0.01048363746850003,0.288135593220339,-0.18459500882514707
F3,OOS,-0.004726599855416397,-0.14145832806753122,-0.00473742842526155,0.00398717447995736,0.40404040404040403,-0.3247176328665225
F3,FULL,0.007750195560723932,0.2588524713040241,-0.0032938153981332185,0.0045240051696767,0.4025423728813559,-0.3247176328665225
B1,OOS,0.04224944337486479,1.291339362463745,-0.0009183257932622486,0.007624586646415389,0.4090909090909091,-0.16235881643326125
B1,FULL,0.04878145530862445,1.703315656782408,0.00013254832386957408,0.007610539820356528,0.3983050847457627,-0.16235881643326125
B2,OOS,0.038621903415849396,1.1493861413052973,-0.0013217235065936055,0.007452184366252239,0.4292929292929293,-0.11889691432637617
B2,FULL,0.047671424677309684,1.5817080329655082,-0.00015139441668259035,0.007718287222604762,0.4110169491525424,-0.11889691432637617
B3,OOS,0.08520038834315945,2.3713880478155103,0.00207127179879398,0.011452599366786885,0.398989898989899,-0.10823921095550748
B3,FULL,0.08872734151559195,2.7846229363116213,0.002881918596549079,0.011201786405925833,0.3771186440677966,-0.10823921095550748
B1h,OOS,0.15546537463424406,2.9263214857653823,0.005402555104480095,0.01927448848825706,0.15656565656565657,-0.189154070338729
B1h,FULL,0.15460841582663273,3.329574186794973,0.006208176146561474,0.018332842238618325,0.15254237288135594,-0.189154070338729
B1h3,OOS,0.07536938738941383,2.2712031595747972,0.0016492394364347749,0.010314155387281705,0.3888888888888889,-0.16235881643326125
B1h3,FULL,0.08117930569367834,2.8175729002526158,0.0026812633923893833,0.01020434068597226,0.3771186440677966,-0.16235881643326125
