section,kind,value
L4,real,0.8446536483790824
L4,inverted,0.6852315728492403
L4,shuffled_mean,0.8213186045786701
L4,shuffled_sd,0.06555101785872247
L5_plain,oos_raw_sharpe,-0.07979439487128959
L5_winter,oos_raw_sharpe,-0.06725786388063514
L5_propane,oos_raw_sharpe,-0.15713857827311536
L5_book,oos_ov_sharpe,0.5540682472377382
L6,oos_ov,0.8668004092548376
L6,is_ov,1.2494995540596212
L6,shuffled_mean,0.7873932991460135
L6,shuffled_sd,0.07200911354375872
L8,oos_ov,-0.02901262863748198
L8,is_ov,0.6926042389647332
L8,shuffled_mean,0.03436099673472326
L8,shuffled_sd,0.17328436871120936
L12,oos_ov,0.8551786437832685
L12,is_ov,1.1260488487571034
L12,inverted,0.8644184097147232
L12,shuffled_mean,0.8228736819849092
L12,shuffled_sd,0.06747636710290104
