mode,rawDD,Sharpe,Calmar,DDperVol,DDperExpo,DD_at10vol,Calmar10,Sh2019,DD2019
unit,0.3502657366340609,0.7508961686511855,0.58394733527094,1.142956747413158,1.7710853230319208,0.12439657029502216,0.5846489473367267,0.8637413038691116,0.0898858162804369
kelly,0.22359405352032802,0.7638676146869887,0.6135742129725203,1.1689049673736596,1.7922524504969475,0.12109064034485206,0.6120579355369293,0.873662981905008,0.09403531044541968
anchor,0.15164607013496478,0.7634113353856329,0.5987056914464063,1.2274041490568224,1.9058879019640431,0.12388344111157545,0.5979111706999433,0.8578650208746635,0.08891484094744051
kelly_half,0.1160040065574397,0.7638676146869878,0.6119349594952566,1.2128914643779665,1.8596958348995922,0.12109064034485251,0.6120579355369271,0.8736629819050069,0.09403531044541902
