,crack_321,cross_sectional,crack_ho,ng,bzwti
crack_321,1.0,0.3014,0.1809,0.1749,0.0405
cross_sectional,0.3014,1.0,0.344,0.0676,0.1541
crack_ho,0.1809,0.344,1.0,0.1174,-0.0041
ng,0.1749,0.0676,0.1174,1.0,-0.0449
bzwti,0.0405,0.1541,-0.0041,-0.0449,1.0
