date,ret,pos,gear
2012-01-03,-0.0,0.0,0.0
2012-01-04,-6.695461178910356e-05,0.13181689195979762,0.4489546911153944
2012-01-05,-0.005803584162205133,0.046250278634312865,0.23565533400908334
2012-01-06,0.0033252118402723554,0.0669702771096629,0.22809383248734913
2012-01-09,0.0021083777804750824,0.03870368919573656,0.1972038023147913
2012-01-10,-0.00035624979950062477,0.038446942634448825,0.195895622160152
2012-01-11,0.0013851186319445209,0.0,0.19541261717407
2012-01-12,0.0,0.0,0.19541261717407
2012-01-13,0.0,0.0,0.19541261717407
2012-01-17,-1.5945897116299224e-05,0.031393484947714094,0.19541261717407
2012-01-18,0.0023698840027415327,0.0,0.19093011507170757
2012-01-19,0.0,0.0,0.19093011507170757
2012-01-20,0.0,0.0,0.19093011507170757
2012-01-23,-0.0,0.0,0.19093011507170757
2012-01-24,0.0,0.0,0.19093011507170757
2012-01-25,0.0,0.0,0.19093011507170757
2012-01-26,0.0,0.0,0.19093011507170757
2012-01-27,0.0,0.0,0.19093011507170757
2012-01-30,-0.0,0.0,0.19093011507170757
2012-01-31,0.0,0.0,0.19093011507170757
2012-02-01,0.0,0.0,0.19093011507170757
2012-02-02,0.0,0.0,0.21621054758284683
2012-02-03,0.0,0.0,0.32322264572555226
2012-02-06,0.0,0.0,0.3478798556955256
2012-02-07,-0.0,0.0,0.7920170940210443
2012-02-08,0.0,0.0,1.0
2012-02-09,0.0,0.0,1.0
2012-02-10,-0.0,0.0,1.0
2012-02-13,-0.0,0.0,1.0
2012-02-14,-0.0,0.0,1.0
2012-02-15,-0.0,0.0,0.0
2012-02-16,0.0,0.0,0.0
2012-02-17,-0.0,0.0,0.0
2012-02-21,-0.0,0.0,0.0
2012-02-22,0.0,0.0,0.0
2012-02-23,-0.0,0.0,0.0
2012-02-24,-0.0,0.0,0.0
2012-02-27,0.0,0.0,0.0
2012-02-28,-0.0,0.0,0.0
2012-02-29,-3.52523918613851e-05,0.0694031464771019,1.0
2012-03-01,0.02103567344464507,0.0,1.0
2012-03-02,-0.0,0.0,1.0
2012-03-05,-0.0,0.0,1.0
2012-03-06,0.0,0.0,1.0
2012-03-07,0.0,0.0,1.0
2012-03-08,0.0,0.0,1.0
2012-03-09,-0.0,0.0,1.0
2012-03-12,0.0,0.0,1.0
2012-03-13,0.0,0.0,1.0
2012-03-14,0.0,0.0,1.0
2012-03-15,-0.0,0.0,1.0
2012-03-16,0.0,0.0,1.0
2012-03-19,-0.0,0.0,1.0
2012-03-20,0.0,0.0,1.0
2012-03-21,-0.0,0.0,1.0
2012-03-22,0.0,0.0,1.0
2012-03-23,0.0,0.0,1.0
2012-03-26,0.0,0.0,1.0
2012-03-27,-0.0,0.0,1.0
2012-03-28,0.0,0.0,1.0
2012-03-29,0.0,0.0,0.0
2012-03-30,-0.0,0.0,0.0
2012-04-02,-0.0,0.0,0.0
2012-04-03,0.0,0.0,0.0
2012-04-04,-0.0,0.0,0.0
2012-04-05,-0.0,0.0,0.0
2012-04-09,-0.0,0.0,0.0
2012-04-10,-0.0,0.0,0.0
2012-04-11,-0.0,0.0,0.0
2012-04-12,0.0,0.0,0.0
2012-04-13,0.0,0.0,0.0
2012-04-16,-0.0,0.0,0.0
2012-04-17,-0.0,0.0,0.0
2012-04-18,-5.603635183245597e-05,0.11032156767014768,1.0
2012-04-19,-0.002817651228089488,0.11032156767014768,1.0
2012-04-20,-0.003037043975353375,0.07970458406870068,1.0
2012-04-23,0.0028933937809551133,0.07454286265942273,1.0
2012-04-24,-0.00305483194182252,0.07970458406870068,1.0
2012-04-25,-0.0005546041806273976,0.0694031464771019,1.0
2012-04-26,0.001704183294399318,0.0694031464771019,1.0
2012-04-27,0.000146866212297738,0.0694031464771019,1.0
2012-04-30,-0.0011016942129574829,0.0694031464771019,1.0
2012-05-01,-0.008341305278066721,0.0,1.0
2012-05-02,-0.000104461015268705,0.20565762381026298,0.7004485813655984
2012-05-03,0.007871466162427964,0.20621134928453438,0.7023345130210046
2012-05-04,0.005911954694643286,0.09566233461875003,0.48742061847699736
2012-05-07,0.0003673692237810326,0.07369831369060577,0.4587442389267304
2012-05-08,0.004026618197953825,0.07363383634432856,0.458342891736208
2012-05-09,0.002874657058547973,0.028545820517894116,0.4113044143800052
2012-05-10,-0.0008589696407082113,0.030454990210761666,0.4085567568005379
2012-05-11,0.00042923806664867787,0.028105890335745117,0.4049656501527357
2012-05-14,-0.0002921487334339016,0.028099369881304896,0.4048716997373555
2012-05-15,0.0004252323525866284,0.02806042744910071,0.40431059502984723
2012-05-16,2.349708625970582e-05,0.02947575067659381,0.42470337690408194
2012-05-17,-0.001686054398233171,0.029506671984670642,0.42514890869401356
2012-05-18,0.0011292331880961661,0.1232581557604923,0.41980452144010594
2012-05-21,0.00323337357405969,0.05939034089000253,0.36968249837521266
2012-05-22,0.0017573341355487907,0.05897457736371236,0.3670945270514429
2012-05-23,-0.0015557913097391093,0.02582392943035697,0.3720858598086332
2012-05-24,-0.0004750440111958073,0.059296877266465424,0.3691007225285242
2012-05-25,0.0007338758417332782,0.07100534382411552,0.3617878315415763
2012-05-29,0.0004993594656731032,0.07107546882089247,0.3621451338114397
2012-05-30,0.0015454222352950507,0.07161235535833968,0.364880688710632
2012-05-31,-0.0002758845691440496,0.06702176679721315,0.41718524971937704
2012-06-01,-0.0057829192659047,0.03347083231004379,0.4199361015571437
2012-06-04,-0.00044727886827078297,0.06832458648724657,0.4252948114886217
2012-06-05,0.00040190801276268574,0.08441836282055604,0.4301301110912469
2012-06-06,-0.00011539937002627318,0.08444485949748834,0.4302651174833593
2012-06-07,-4.192914952884208e-05,0.09285933364653993,0.47313871251148604
2012-06-08,0.0025352075247231662,0.0935155639476297,0.4764823501144704
2012-06-11,0.00027798770172442406,0.07489792098045851,0.46621134238726175
2012-06-12,-0.0025723593956875047,0.07487827370928876,0.46608904552579494
2012-06-13,0.0017726730854176016,0.1290465535006351,0.43951920505039344
2012-06-14,-0.002100448409647158,0.08163985648985442,0.4159730107073787
2012-06-15,0.002405095978384054,0.08000098105193702,0.4076225801775358
2012-06-18,-0.002183858293235381,0.06568684300751752,0.40887585202406496
2012-06-19,-0.002447750691271723,0.0,0.46642872221189097
2012-06-20,-5.352764789687711e-05,0.1053825567969768,0.4392227161749937
2012-06-21,0.005944643205418226,0.10916723010322628,0.45499681143260257
2012-06-22,-0.0034302204282942966,0.0713999560194333,0.3637984674001607
2012-06-25,0.0068933133589100856,0.10348604638146094,0.3524627632861501
2012-06-26,0.0012784889246600273,0.01683327680568473,0.2258201014172735
2012-06-27,-0.0007708521115808266,0.016830805429527685,0.22578694765755897
2012-06-28,0.001035456835079926,0.03606269476736879,0.22447668930601816
2012-06-29,-0.0026625921719147998,0.01630879142132867,0.21878407723408144
2012-07-02,-0.0011337032069782455,0.0,0.22056369027565417
2012-07-03,-7.667553993330202e-06,0.015095496924368835,0.21750450362289087
2012-07-05,0.0009307675281453833,0.015083127652133817,0.21732628011483857
2012-07-06,0.0003084751077799323,0.017303864464275943,0.21709999075286593
2012-07-09,0.00013471048087073154,0.017327089661956757,0.21739138174313566
2012-07-10,0.0007970343673985227,0.017400313234562325,0.2183100688357432
2012-07-11,-0.0004215416008161189,0.022706080010981223,0.2181336555675624
2012-07-12,0.0007341668192971929,0.024384010514049197,0.22102668615945853
2012-07-13,-0.00044930701245985766,0.023217679522426427,0.22304850971958468
2012-07-16,0.00024070967977165384,0.024709650473864236,0.22397842050018757
2012-07-17,-0.0007241077087068359,0.0248642697462656,0.22537995308956904
2012-07-18,0.0007744574976079882,0.018051521722849885,0.22648034531226624
2012-07-19,-0.0001651070172762169,0.02584753211140429,0.2342926470070319
2012-07-20,0.000880653808403476,0.02575573116129819,0.2334605254913136
2012-07-23,0.00012131398772172053,0.02579037933679584,0.24776402269738546
2012-07-24,-0.0016300751199004302,0.026558421075852098,0.2551424760494297
2012-07-25,-0.000961252305912221,0.03434985513270969,0.4608067614689014
2012-07-26,0.0005778247982924601,0.03163441324557453,0.455806614704589
2012-07-27,0.0017065764443890226,0.03220847179086567,0.4640779766590579
2012-07-30,0.001670652028067016,0.06040589501576785,0.5475438419836134
2012-07-31,0.001140325854863881,0.050725120714027454,0.548232393823169
2012-08-01,-0.004766751734432503,0.0,0.6010640760607788
2012-08-02,-2.8242493889099094e-05,0.05560240984416384,0.6009456817866802
2012-08-03,-0.0025000532442252476,0.0,0.5511588522756173
2012-08-06,-0.0,0.0,0.5506566221497491
2012-08-07,-2.5836385076038017e-05,0.05086538311844984,0.5497483368639633
2012-08-08,0.0004074021431982897,0.0,0.549101538311936
2012-08-09,0.0,0.0,0.5635978651775274
2012-08-10,0.0,0.0,0.5724607727041828
2012-08-13,-0.0,0.0,0.5828040273874175
2012-08-14,-0.0,0.0,0.5817241281361668
2012-08-15,0.0,0.0,0.6084333013962115
2012-08-16,-0.0,0.0,0.6109786564752709
2012-08-17,-0.0,0.0,0.6159009194629947
2012-08-20,0.0,0.0,0.6303517136306844
2012-08-21,0.0,0.0,0.6294163076431464
2012-08-22,0.0,0.0,0.7719755380234842
2012-08-23,0.0,0.0,0.823660481439289
2012-08-24,-0.0,0.0,0.8179125038987185
2012-08-27,0.0,0.0,0.8455147798703774
2012-08-28,-0.0,0.0,0.9860194424092023
2012-08-29,0.0,0.0,0.9929202335005277
2012-08-30,0.0,0.0,0.9929202335005277
2012-08-31,-0.0,0.0,1.0
2012-09-04,-0.0,0.0,1.0
2012-09-05,-0.0,0.0,1.0
2012-09-06,0.0,0.0,0.0
2012-09-07,0.0,0.0,0.0
2012-09-10,0.0,0.0,0.0
2012-09-11,0.0,0.0,0.0
2012-09-12,-0.0,0.0,0.0
2012-09-13,-0.0,0.0,0.0
2012-09-14,0.0,0.0,0.0
2012-09-17,-0.0,0.0,1.0
2012-09-18,-5.287238670115518e-05,0.10409251131789925,1.0
2012-09-19,0.000553223735347395,0.11032156767014768,1.0
2012-09-20,0.01004653240729832,0.11032156767014768,1.0
2012-09-21,0.0012410534245648661,0.0,0.7733425713339479
2012-09-24,-0.0,0.0,0.7733425713339479
2012-09-25,0.0,0.0,0.7733425713339479
2012-09-26,0.0,0.0,0.7733425713339479
