leg,tilt,IS_sh,OOS_sh,OOS_cagr,OOS_dd,OOS_vol
crack_321,A,0.828117975404376,0.397498710819487,0.059134102724728965,-0.36104499739036444,0.18900515935579115
cross,A,0.7535760244740228,0.5889002379755933,0.18315165768620023,-0.6770933383503924,0.4070006001355047
bzwti,A,0.9955490867674315,-0.03452605934074238,-0.013868721733344302,-0.5483419590309846,0.13127705474282883
crack_321,T1,0.8474975955346327,0.391596202291374,0.057772872196459435,-0.3382761780691841,0.1884197180971676
cross,T1,0.7490742420200104,0.5782909663734757,0.19412876969251847,-0.6659058182233613,0.4418406927959936
bzwti,T1,0.9955490867674315,-0.03452605934074238,-0.013868721733344302,-0.5483419590309846,0.13127705474282883
crack_321,T2flip,0.852397605346451,0.41736196132068165,0.06226720543144504,-0.39298384413661513,0.1851590748294043
cross,T2flip,0.725049205240502,0.5908537680198608,0.20066446135622762,-0.6781738682671019,0.4412048811607257
bzwti,T2flip,0.9955490867674315,-0.03452605934074238,-0.013868721733344302,-0.5483419590309846,0.13127705474282883
