lookback,window,t,ann
60,OOS,1.2744718197016953,0.0365091212818685
60,FULL,1.1499615859738093,0.029539657183226153
90,OOS,2.481851940878085,0.07473489307253353
90,FULL,2.283186870728498,0.06150007653896089
120,OOS,1.9168473022948609,0.055306160302017626
120,FULL,1.7000004579825878,0.04389367301921373
180,OOS,2.2565995687593037,0.05361103264350474
180,FULL,2.006053895627291,0.04277519828274147
