ann,hi90,item,leg,lo90,mean,monthly_mean,monthly_std,n,n_full,n_oos,prem_over_mean,series,state,t,window
0.0320285613582584,0.010522815691643816,weather,ng_raw,-0.005438917063348831,,,,198,,,,,,0.5239414399373022,
-0.005933687671635408,0.006611265134302514,weather,ng_gated,-0.007553120320276388,,,,198,,,,,,-0.10938362175297667,
-0.007685625773161224,0.005115677665695343,weather,crack_ho_raw,-0.006335618264609823,,,,198,,,,,,-0.17524674040633584,
0.0015124512983477425,0.005273355103863652,weather,crack_ho_gated,-0.005033283469205279,,,,198,,,,,,0.038316841733922365,
0.07896656821409513,0.013056236233289734,storage_h1,crack_321_raw,-0.0005218603262905049,,,,198,,,,,,1.518552197396596,
0.10151132254665651,0.014434140738718813,storage_h1,crack_321_gated,0.0016787676020203176,,,,198,,,,,,2.0780053971338712,
0.25491438376454756,0.03435883583631435,storage_h1,cross_sectional_raw,0.006103764761232878,,,,198,,,,,,2.3557179455006296,
0.19407507376718242,0.025826004457542594,storage_h1,cross_sectional_gated,0.0049795628070895374,,,,198,,,,,,2.4308780846163516,
0.03873962321851124,0.00983878081633122,storage_h2,ng_raw,-0.0036896342737103892,,,,162,,,,,,0.7477110951494433,
0.00971714154562991,0.007539320949178666,storage_h2,ng_gated,-0.005996917529237411,,,,162,,,,,,0.1874415577007667,
,,crashput,,,,0.008566928990723722,0.04565235185954582,,,,0.04125851197982345,raw,,,
,,crashput,,,,0.004709017500675925,0.01944776830773078,,,,0.041258511979823456,ov,,,
,,joint,,,,,,,6,6,,,joint,,
,,joint,,,,,,,1190,1019,,,crush,,
,,joint_block,,,0.25354181493227224,,,48,,,,,crush,2.6534960688082294,OOS
,,joint_block,,,0.213545852188291,,,56,,,,,crush,2.5697546581927595,FULL
