y,zcut,scale,cb,trail
2012,0.698,0.2936,0.3417,0.1318
2013,0.698,0.3554,0.323,0.1067
2014,0.698,0.295,0.2657,0.1161
2015,0.469,0.2762,0.2513,0.1115
2016,0.469,0.3017,0.2272,0.1087
2017,0.469,0.3041,0.181,0.1174
2018,0.469,0.3222,0.1806,0.1167
2019,0.24,0.3443,0.1525,0.1127
2020,0.24,0.3716,0.1525,0.1095
2021,-0.677,0.4428,0.1478,0.1181
2022,0.469,0.2914,0.1661,0.1121
2023,0.698,0.3132,0.1641,0.1114
2024,0.469,0.327,0.1616,0.107
2025,0.469,0.309,0.1581,0.107
2026,0.698,0.3263,0.1579,0.1114
